,Synset,Tipo,Info
0,03012209-a,arb:lemma,أوّلِي
1,03012209-a,arb:lemma:root,أول
2,13983515-n,arb:lemma,ظلْماء
3,13983515-n,arb:lemma:root,ظلم
4,13983515-n,arb:lemma,دُهْمة
5,13983515-n,arb:lemma:root,دهم
6,13659760-n,arb:lemma,كِيْلُو مِتْر
7,09885145-n,arb:lemma,شارِي
8,09885145-n,arb:lemma:root,شري
9,09885145-n,arb:lemma:brokenplural,شراة
10,02316707-n,arb:lemma,شائِك الجِلْد
11,04980463-n,arb:lemma,شذا
12,04980463-n,arb:lemma:root,شذو
13,05169813-n,arb:lemma,شأن
14,05169813-n,arb:lemma:root,شأن
15,05169813-n,arb:lemma:brokenplural,شؤون
16,05670710-n,arb:lemma,شأن
17,05670710-n,arb:lemma:root,شأن
18,05670710-n,arb:lemma:brokenplural,شؤون
19,05671325-n,arb:lemma,شأن
20,05671325-n,arb:lemma:root,شأن
21,05671325-n,arb:lemma:brokenplural,شؤون
22,05814650-n,arb:lemma,شأن
23,05814650-n,arb:lemma:root,شأن
24,05814650-n,arb:lemma:brokenplural,شؤون
25,05855004-n,arb:lemma,شأن
26,05855004-n,arb:lemma:root,شأن
27,05855004-n,arb:lemma:brokenplural,شؤون
28,13943968-n,arb:lemma,شأْن
29,13943968-n,arb:lemma:root,شأن
30,13943968-n,arb:lemma:brokenplural,شؤون
31,01824958-v,arb:lemma,شاء
32,01824958-v,arb:lemma:root,شاء
33,10042845-n,arb:lemma,شاذّ
34,10042845-n,arb:lemma:root,شذذ
35,10042845-n,arb:lemma:brokenplural,شواذ
36,00935987-v,arb:lemma,شاع
37,00935987-v,arb:lemma:root,شيع
38,00969873-v,arb:lemma,شاع
39,00969873-v,arb:lemma:root,شيع
40,10444194-n,arb:lemma,شاعِر
41,10444194-n,arb:lemma:root,شعر
42,10444194-n,arb:lemma:brokenplural,شعراء
43,04490091-n,arb:lemma,شاحِنة
44,04490091-n,arb:lemma:root,شحن
45,01063930-v,arb:lemma,شاطر
46,01063930-v,arb:lemma:root,شطر
47,02295208-v,arb:lemma,شاطر
48,02295208-v,arb:lemma:root,شطر
49,01821996-v,arb:lemma,شاطر الأسى
50,01821996-v,arb:lemma:root,شطر
51,09433442-n,arb:lemma,شاطِئ
52,09428293-n,arb:lemma,شاطِئ
53,09428293-n,arb:lemma:root,شطأ
54,09428293-n,arb:lemma,شاطِئ البحْر
