,Synset,Tipo,Info
0,09885145-n,lemma,شاري
1,02316707-n,lemma,شائك الجلد
2,04980463-n,lemma,شذا
3,05169813-n,lemma,شأن
4,05670710-n,lemma,شأن
5,05671325-n,lemma,شأن
6,05814650-n,lemma,شأن
7,05855004-n,lemma,شأن
8,13943968-n,lemma,شأن
9,08252211-n,lemma,شأن اجتماعي
10,01824958-v,lemma,شاء
11,10042845-n,lemma,شاذ
12,00935987-v,lemma,شاع
13,00969873-v,lemma,شاع
14,10444194-n,lemma,شاعر
15,04490091-n,lemma,شاحنة
16,01063930-v,lemma,شاطر
17,02295208-v,lemma,شاطر
18,01821996-v,lemma,شاطر الأسى
19,09433442-n,lemma,شاطئ
20,09428293-n,lemma,شاطئ
21,09428293-n,lemma,شاطئ البحر
22,09217230-n,lemma,شاطئ
23,10804287-n,lemma,شاب
24,01646941-a,lemma,شاب
25,00653620-v,lemma,شابه
26,02665282-v,lemma,شابه
27,02665617-v,lemma,شابه
28,09870926-n,lemma,شاب
29,10129825-n,lemma,شابة
30,10202624-n,lemma,شاغل منصب
31,10371221-n,lemma,شاغل منصب
32,14485249-n,lemma,شاغر
33,02493030-v,lemma,شاهد
34,02150510-v,lemma,شاهد
35,02128653-v,lemma,شاهد
36,02129289-v,lemma,شاهد
37,02163746-v,lemma,شاهد
38,02150948-v,lemma,شاهد
39,02486232-v,lemma,شاهد
40,05823932-n,lemma,شاهد
41,07308889-n,lemma,شاهد
42,08728268-n,lemma,شانغهاي
43,03969627-n,lemma,شاقول
44,01082606-v,lemma,شارك
45,01063930-v,lemma,شارك
46,02295208-v,lemma,شارك
47,02450256-v,lemma,شارك
48,02295550-v,lemma,شارك
49,01097309-v,lemma,شارك بـ
50,01996735-v,lemma,شارك في موكب
51,04334599-n,lemma,شارع
52,04097622-n,lemma,شارع
53,04426618-n,lemma,شارع
54,00877559-v,lemma,شاور
55,12929783-n,lemma,شاي
56,07933274-n,lemma,شاي
57,00492677-a,lemma,شائع
58,00072261-n,lemma,شائبة
59,00715239-v,lemma,شعر
60,01771535-v,lemma,شعر
61,00690305-v,lemma,شعر
62,02106006-v,lemma,شعر
63,01826184-v,lemma,شعر بالميل نحو
64,01826184-v,lemma,شعر بالرغبة في
65,01030820-n,lemma,شعيرة
66,01033184-n,lemma,شعيرة
67,01027859-n,lemma,شعيرة
68,01027859-n,lemma,شعيرة دينية
69,01028082-n,lemma,شعيرة دينية
70,08160276-n,lemma,شعب
71,08303692-n,lemma,شعب
72,08180190-n,lemma,شعب
73,04808639-n,lemma,شعبية
74,05254795-n,lemma,شعر
75,01326015-n,lemma,شعر عنثق الفرس
76,02767116-v,lemma,شع
77,00473572-v,lemma,شحذ
78,02270815-v,lemma,شحذ
79,00782057-v,lemma,شحد
80,00518115-v,lemma,شحن
81,01950798-v,lemma,شحن
82,00103619-v,lemma,شحب
83,14864360-n,lemma,شحم
84,14938907-n,lemma,شحم
85,14890659-n,lemma,شحم التزليق
86,00061290-n,lemma,شحن
87,01105259-n,lemma,شحن
88,02964389-n,lemma,شحنة
89,00800750-v,lemma,شطب
90,00036362-v,lemma,شطف
91,01536168-v,lemma,شطف
92,00397760-n,lemma,شطب
93,00394610-n,lemma,شطب
94,00232604-n,lemma,شطب
95,03892891-n,lemma,شطر
96,03932203-n,lemma,شطر
97,00503237-n,lemma,شطرنج
98,09433442-n,lemma,شط
99,09428293-n,lemma,شط
100,04709253-n,lemma,شظف
101,04710127-n,lemma,شظف
102,07336763-n,lemma,شظف
103,01259458-v,lemma,شظى
104,07944050-n,lemma,شباب
105,15266034-n,lemma,شباب
106,09545976-n,lemma,شبح
107,04744814-n,lemma,شبه
108,04743605-n,lemma,شبه
109,02665617-v,lemma,شبه
110,03819595-n,lemma,شبكة
111,04048568-n,lemma,شبكة  سكك حديدية
112,07489714-n,lemma,شبق
113,07487955-n,lemma,شبق
114,01438720-n,lemma,شببوطيات
115,01188342-v,lemma,شبع
116,07944050-n,lemma,شبيبة
117,02611112-a,lemma,شبيه بالطحلب
118,00254527-r,lemma,شبيه بالموت
119,02785757-a,lemma,شبيه بالبروتين
120,01510827-v,lemma,شبك
121,01528069-v,lemma,شد
122,01190683-a,lemma,شديد
123,01509527-a,lemma,شديد
124,00114431-n,lemma,شد
125,11515051-n,lemma,شد
126,00071803-v,lemma,شد
127,00318816-v,lemma,شد
128,00420132-v,lemma,شد
129,01013367-v,lemma,شدد
130,01240210-n,lemma,شفاعة
131,02823920-a,lemma,شفهي
132,00128456-r,lemma,شفهيا
133,05305806-n,lemma,شفة
134,14423740-n,lemma,شفق
135,00034574-n,lemma,شفقة
136,07553741-n,lemma,شفقة
137,01227495-n,lemma,شفقة
138,01071411-n,lemma,شفقة
139,07554500-n,lemma,شفقة
140,02848216-n,lemma,شفرة
141,02848216-n,lemma,شفرة المدية
142,00994076-v,lemma,شفر
143,00553823-n,lemma,شغب
144,13977043-n,lemma,شغب
145,05682950-n,lemma,شغف
146,00600370-v,lemma,شغل
147,00601043-v,lemma,شغل
148,02415831-v,lemma,شغل
149,02649830-v,lemma,شغل
150,02415831-v,lemma,شغل نفسه
151,00100551-v,lemma,شغل
152,02240151-v,lemma,شغل
153,02443849-v,lemma,شغل
154,02261256-v,lemma,شغل
155,01857717-v,lemma,شغل
156,01224744-v,lemma,شغل
157,01510173-v,lemma,شغل
158,01510827-v,lemma,شغل
159,01211699-v,lemma,شغل
160,01510399-v,lemma,شغل
