,Synset,Tipo,Info
0,00815000-a,bul:lemma,преждевременен
1,00815000-a,bul:def,"bul:deКойто е станал, извършил се е по-рано, преди определеното, очакваното време."
2,01698400-a,bul:lemma,гол
3,01698400-a,bul:lemma,непокрит
4,01698400-a,bul:lemma,оголен
5,01698400-a,bul:def,"bul:deКойто няма на себе си дрехи или не е покрит с това, което е обичайно за него."
6,00935500-a,bul:lemma,опитен
7,00935500-a,bul:def,"bul:deКойто притежава опит, практически познания или умения в някаква област, придобити от наблюдение на нещо или от участие в нещо."
8,02929500-a,bul:lemma,тропичен
9,02929500-a,bul:lemma,тропически
10,02929500-a,bul:def,bul:deКойто се отнася до тропиците.
11,01801600-a,bul:lemma,неприятен
12,01801600-a,bul:lemma,отвратителен
13,01801600-a,bul:lemma,противен
14,01801600-a,bul:def,"bul:deКойто буди неудоволствие, не се харесва, който не е приятен за сетивата, ума или чувствата."
15,02714800-a,bul:lemma,драматичен
16,02714800-a,bul:lemma,драматически
17,02714800-a,bul:def,bul:deКойто се отнася до драма.
18,01624010-a,bul:lemma,незает
19,01624010-a,bul:lemma,свободен
20,01624010-a,bul:def,"bul:deКойто не е зает от някого или нещо, който е празен."
21,01244410-a,bul:lemma,враждебен
22,01244410-a,bul:lemma,неприятелски
23,01244410-a,bul:def,"bul:deКойто изразява, съдържа, характеризира се с враждебност, голяма омраза."
24,00451510-a,bul:lemma,близък
25,00451510-a,bul:def,"bul:deКойто е тясно свързан с някого по чувства, произход, интереси, идеи и др."
26,02225510-a,bul:lemma,квалифициран
27,02225510-a,bul:lemma,опитен
28,02225510-a,bul:lemma,подготвен
29,02225510-a,bul:def,"bul:deКойто има, показва или изисква висока квалификация, специални знания или умения."
30,00772910-a,bul:lemma,дискретен
31,00772910-a,bul:lemma,сдържан
32,00772910-a,bul:def,"bul:deЗа човек - който умее да пази тайна, който знае добре какво може да каже и какво да премълчи."
33,01233020-a,bul:lemma,плосък
34,01233020-a,bul:def,"bul:deКойто има равна повърхност, без издатини и вдлъбнатини."
35,00173220-a,bul:lemma,бременен
36,00173220-a,bul:def,bul:deЗа жена или женско животно - която носи плод в утробата си и е на път да даде нов живот.
37,02809220-a,bul:lemma,технически
38,02809220-a,bul:def,"bul:deКойто се отнася до техника, който е свързан с работа, практически умения за обслужване на техниката."
39,02389220-a,bul:lemma,див
40,02389220-a,bul:def,"bul:deКойто живее или расте при естествени условия, който не е опитомен или култивиран."
41,01749320-a,bul:lemma,идеален
42,01749320-a,bul:lemma,перфектен
43,01749320-a,bul:lemma,съвършен
44,01749320-a,bul:def,bul:deКойто притежава всички положителни качества и е без недостатъци.
45,01643620-a,bul:lemma,възрастен
46,01643620-a,bul:lemma,стар
47,01643620-a,bul:def,"bul:deЗа лице - който е живял дълго време, дълги години и е преминал активната си възраст."
48,01649720-a,bul:lemma,млад
49,01649720-a,bul:def,"bul:deКойто е присъщ на младостта, който е свеж, енергичен, буен."
50,01972820-a,bul:lemma,свързан
51,01972820-a,bul:def,"bul:deКойто е в логическа, причинно-следствена или от друг характер връзка с някого или нещо, който е в зависимост от някого или нещо."
52,00584820-a,bul:lemma,градивен
53,00584820-a,bul:lemma,конструктивен
54,00584820-a,bul:lemma,съзидателен
55,00584820-a,bul:lemma,творчески
56,00584820-a,bul:def,"bul:deКойто служи за или благоприятства, подпомага създаването, изграждането, развитието на нещо."
57,02569130-a,bul:lemma,мъдър
58,02569130-a,bul:lemma,умен
59,02569130-a,bul:def,"bul:deКойто притежава много познания, ум и опит, който се основава на или съдържа мъдрост, опит."
60,00575230-a,bul:lemma,либерален
61,00575230-a,bul:def,"bul:deКойто се отличава със свободомислие, широта на възгледите, търпимост, толерантност към поведението и разбиранията на другите."
62,00639230-a,bul:lemma,вежлив
63,00639230-a,bul:lemma,внимателен
64,00639230-a,bul:lemma,деликатен
65,00639230-a,bul:lemma,тактичен
66,00639230-a,bul:lemma,учтив
67,00639230-a,bul:def,bul:deКойто е деликатен в обноските и поведението си и се отнася с внимание към другите.
68,00749230-a,bul:lemma,лесен
69,00749230-a,bul:def,"bul:deКойто става, може да бъде постигнат без голямо усилие и труд."
70,00260430-a,bul:lemma,средна класа
71,00260430-a,bul:def,"bul:deСъсловие в обществото, което заема междинно социално-икономическо положение между много богатите и по-бедните слоеве."
72,02449430-a,bul:lemma,отровен
73,02449430-a,bul:lemma,токсичен
74,02449430-a,bul:def,"bul:deКойто съдържа токсини, отрови, който е свързан с действието на токсини, отрови."
75,00968730-a,bul:lemma,екзотичен
76,00968730-a,bul:def,"bul:deКойто е необикновен, необичаен, дори поразително странен, причудлив за дадена територия, за даден човек и др."
77,00681930-a,bul:lemma,глух
78,00681930-a,bul:def,"bul:deКойто е лишен от слух, който не може да чува."
79,01993140-a,bul:lemma,порядъчен
80,01993140-a,bul:lemma,почтен
81,01993140-a,bul:lemma,уважаван
82,01993140-a,bul:def,"bul:deКойто е честен, добросъвестен, съобразява се с общоприетите морални норми, поради което заслужава почит, уважение, доверие."
83,00715140-a,bul:lemma,демократичен
84,00715140-a,bul:def,bul:deКойто е свързан с демокрацията или се основава на демокрацията и социалното равенство.
85,01044240-a,bul:lemma,неофициален
86,01044240-a,bul:lemma,неформален
87,01044240-a,bul:def,bul:deКойто няма официален характер.
88,01247240-a,bul:lemma,горещ
89,01247240-a,bul:lemma,топъл
90,01247240-a,bul:def,"bul:deКойто е силно нагрят, излъчва или има висока температура и причинява усещане за топлина или парене."
91,00287640-a,bul:lemma,посредствен
92,00287640-a,bul:lemma,тесногръд
