,Synset,Tipo,Info
0,02131777-v,cmn:lemma,䁖
1,02131777-v,cmn:lemma,䁖䁖
2,13742358-n,cmn:lemma,〇
3,02312060-a,cmn:lemma,双手叉腰的
4,02732433-n,cmn:lemma,导水管
5,02667576-n,cmn:lemma,属修道院教堂
6,02103612-v,cmn:lemma,急急忙忙
7,14299480-n,cmn:lemma,战壕足
8,09802641-n,cmn:lemma,挪用者
9,13247228-n,cmn:lemma,教会属地
10,13245338-n,cmn:lemma,智慧财产
11,13245338-n,cmn:lemma,智慧财产权
12,03507554-n,cmn:lemma,炉石
13,15233614-n,cmn:lemma,柏拉图年
14,03469832-n,cmn:lemma,大炮
15,03469832-n,cmn:lemma,重炮
16,01967308-n,cmn:lemma,船蛆
17,01967308-n,cmn:lemma,凿船虫
18,01955933-n,cmn:lemma,双壳类动物
19,01948788-n,cmn:lemma,帽贝科
20,01965111-n,cmn:lemma,无齿蚌属
21,01969893-n,cmn:lemma,章鱼科
22,01942177-n,cmn:lemma,腹足类动物
23,01960459-n,cmn:lemma,蚝
24,01946911-a,cmn:lemma,非互易的
25,15202424-n,cmn:lemma,非大选年
26,01947997-n,cmn:lemma,玉螺
27,01961234-n,cmn:lemma,长牡蛎
28,01959029-n,cmn:lemma,剃刀蛤
29,01954340-n,cmn:lemma,无板亚纲
30,01954516-n,cmn:lemma,无板亚纲
31,01947874-n,cmn:lemma,玉螺科
32,01952712-n,cmn:lemma,圆基
33,01941987-v,cmn:lemma,放单飞
34,01966586-n,cmn:lemma,大扇贝
35,13624026-n,cmn:lemma,1/10公升
36,02199177-a,cmn:lemma,100万
37,15251336-n,cmn:lemma,100周年庆典
38,15251336-n,cmn:lemma,100周年庆祝
39,15251336-n,cmn:lemma,100周年庆祝会
40,15251336-n,cmn:lemma,100周年纪念
41,14654058-n,cmn:lemma,106号元素
42,14631757-n,cmn:lemma,107号元素
43,02199342-a,cmn:lemma,10亿
44,02199523-a,cmn:lemma,10亿
45,15213115-n,cmn:lemma,10月
46,15213303-n,cmn:lemma,10月中旬
47,15213115-n,cmn:lemma,10月份
48,13598556-n,cmn:lemma,10的古戈尔次方
49,15213406-n,cmn:lemma,11月
50,15213669-n,cmn:lemma,11月中旬
51,15213406-n,cmn:lemma,11月份
52,15213774-n,cmn:lemma,12月
53,15213963-n,cmn:lemma,12月中旬
54,15213774-n,cmn:lemma,12月份
55,15205880-n,cmn:lemma,15世纪
56,15228267-n,cmn:lemma,15分钟
57,15293931-n,cmn:lemma,15年期年度
58,15293931-n,cmn:lemma,15年期财政年度
59,15148787-n,cmn:lemma,16世纪30年代
60,00347087-n,cmn:lemma,180度转换
61,14747007-n,cmn:lemma,18—甲炔诺酮
62,15149271-n,cmn:lemma,19世纪30年代
63,03244775-n,cmn:lemma,1号铁杆
64,15210045-n,cmn:lemma,1月
65,15210045-n,cmn:lemma,１月
66,15210383-n,cmn:lemma,1月中旬
67,13652886-n,cmn:lemma,1海里单位
68,15148707-n,cmn:lemma,20世纪前10年
69,15155220-n,cmn:lemma,24小时
70,03762332-n,cmn:lemma,2号铁头球棒
71,15210486-n,cmn:lemma,2月
72,15210765-n,cmn:lemma,2月中旬
73,15010038-n,cmn:lemma,2-羟基苯甲酸
74,15228162-n,cmn:lemma,30分钟
75,15210870-n,cmn:lemma,3月
76,15211090-n,cmn:lemma,3月中旬
77,13731241-n,cmn:lemma,3次幂
78,15251892-n,cmn:lemma,400周年庆典
79,15251892-n,cmn:lemma,400周年庆祝
80,15251892-n,cmn:lemma,400周年庆祝会
81,15251892-n,cmn:lemma,400周年纪念
82,13625884-n,cmn:lemma,4个比特
83,15192406-n,cmn:lemma,4旬斋前周日
84,15211189-n,cmn:lemma,4月
85,15211189-n,cmn:lemma,４月
86,15252021-n,cmn:lemma,500周年庆典
87,15252021-n,cmn:lemma,500周年庆祝
88,15252021-n,cmn:lemma,500周年庆祝会
89,15252021-n,cmn:lemma,500周年纪念
90,02998844-a,cmn:lemma,50周年+的
91,03724538-n,cmn:lemma,5号铁头球棒
92,15211484-n,cmn:lemma,5月
93,08039312-n,cmn:lemma,5月15日组织
94,15211484-n,cmn:lemma,5月份
95,14808273-n,cmn:lemma,5-羟色胺
