,Synset,Tipo,Info
0,00001740-v,qcn:lemma,呼吸
1,00002098-a,qcn:lemma,莫
2,00004032-v,qcn:lemma,嗐
3,00004227-v,qcn:lemma,吐
4,00004227-v,qcn:lemma,吐出
5,00004227-v,qcn:lemma,吐出來
6,00004227-v,qcn:lemma,噴
7,00004227-v,qcn:lemma,打
8,00004819-v,qcn:lemma,打
9,00004722-r,qcn:lemma,不外
10,00004722-r,qcn:lemma,不多不少
11,00004722-r,qcn:lemma,不過
12,00004722-r,qcn:lemma,乾
13,00004722-r,qcn:lemma,僅
14,00004722-r,qcn:lemma,僅僅
15,00004722-r,qcn:lemma,僅只
16,00004722-r,qcn:lemma,只
17,00004722-r,qcn:lemma,只是
18,00004722-r,qcn:lemma,只有
19,00004722-r,qcn:lemma,惟有
20,00004722-r,qcn:lemma,祇
21,00007846-n,qcn:lemma,人員
22,00007846-n,qcn:lemma,人員
23,00007846-n,qcn:lemma,人士
24,00007846-n,qcn:lemma,人士
25,00007846-n,qcn:lemma,員
26,00007846-n,qcn:lemma,員
27,00007846-n,qcn:lemma,某某
28,00007846-n,qcn:lemma,者
29,00007012-v,qcn:lemma,吹
30,00006105-r,qcn:lemma,大半
31,00006105-r,qcn:lemma,大多
32,00007328-v,qcn:lemma,打
33,00007739-v,qcn:lemma,眨
34,00007015-r,qcn:lemma,來
35,00007015-r,qcn:lemma,大約
36,00007015-r,qcn:lemma,幾
37,00007015-r,qcn:lemma,幾乎
38,00007015-r,qcn:lemma,近乎
39,00007015-r,qcn:lemma,近乎
40,00007015-r,qcn:lemma,近乎
41,00393508-a,qcn:lemma,清
42,00007488-r,qcn:lemma,根本
43,00007488-r,qcn:lemma,絕
44,00007488-r,qcn:lemma,絕對
45,00008007-r,qcn:lemma,全
46,00008007-r,qcn:lemma,全然
47,00008007-r,qcn:lemma,完全
48,00008007-r,qcn:lemma,所有
49,00008007-r,qcn:lemma,渾然
50,00008007-r,qcn:lemma,盡
51,00008007-r,qcn:lemma,統統
52,00008007-r,qcn:lemma,諸
53,00008007-r,qcn:lemma,通通
54,00008007-r,qcn:lemma,都
55,00008600-r,qcn:lemma,只有
56,00015388-n,qcn:lemma,動
57,00015388-n,qcn:lemma,動物
58,00015388-n,qcn:lemma,獸
59,00008997-r,qcn:lemma,生
60,00012613-v,qcn:lemma,鐵
61,00012613-v,qcn:lemma,鐵
62,00013328-v,qcn:lemma,下
63,00013328-v,qcn:lemma,打
64,00013328-v,qcn:lemma,打
65,00013328-v,qcn:lemma,走
66,00017222-n,qcn:lemma,株
67,00017222-n,qcn:lemma,植
