,Synset,Tipo,Info
0,02667379-n,lemma,kloster
1,05200169-n,lemma,evne
2,01595596-a,lemma,abnorm
3,02427334-v,lemma,afskaffe
4,00243900-v,lemma,forkorte
5,00005205-a,lemma,fuldstændig
6,02765464-v,lemma,absorbere
7,05700087-n,lemma,optagethed
8,00011757-a,lemma,abstrakt
9,00013887-a,lemma,talrig
10,00419908-n,lemma,mishandling
11,06715223-n,lemma,fornærme
12,02599939-a,lemma,akademisk
13,02669885-n,lemma,akademi
14,00668805-v,lemma,acceptere
15,00017782-a,lemma,acceptabel
16,00017782-a,lemma,appetitlig
17,00180413-n,lemma,accept
18,05176188-n,lemma,adgang
19,05175467-n,lemma,adgang
20,00019131-a,lemma,tilgængelig
21,07301336-n,lemma,uheld
22,06738281-n,lemma,beretning
23,06738281-n,lemma,historie
24,13354985-n,lemma,kontoudskrift
25,13354985-n,lemma,kontoudtog
26,09761403-n,lemma,revisor
27,00021766-a,lemma,nøjagtig
28,00035189-n,lemma,præstation
29,14607521-n,lemma,syre
30,05817145-n,lemma,bekendtskab
31,13930245-n,lemma,bekendt
32,00030358-n,lemma,handling
33,07009640-n,lemma,akt
34,01181902-n,lemma,retssag
35,06373513-n,lemma,handling
36,00031974-a,lemma,aktiv
37,04635104-n,lemma,aktivitet
38,00044760-a,lemma,akut
39,00047029-a,lemma,afhængig
40,08491027-n,lemma,adresse
41,00051045-a,lemma,sufficient
42,00051045-a,lemma,tilstrækkelig
43,00150287-v,lemma,justere
44,07500741-n,lemma,agt
45,07500741-n,lemma,beundring
46,07500741-n,lemma,respekt
47,01827858-v,lemma,beundre
48,13321495-n,lemma,indgang
49,00817311-v,lemma,indrømme
50,00817311-v,lemma,vedgå
51,00817311-v,lemma,vedkende
52,00817311-v,lemma,vedstå
53,02346724-v,lemma,tage 'til sig
54,01185292-n,lemma,adoption
55,09605289-n,lemma,voksen
56,13375891-n,lemma,forskud
57,00796315-n,lemma,eventyr
58,07248801-n,lemma,reklame
59,06671484-n,lemma,råd
60,09774266-n,lemma,rådgiver
61,09774783-n,lemma,fortaler
62,00069531-a,lemma,æstetisk
63,13931889-n,lemma,affære
64,13931889-n,lemma,elskovsaffære
65,13931889-n,lemma,kærlighedsaffære
66,00137313-v,lemma,påvirke
67,00838043-v,lemma,simulere
68,00077645-a,lemma,bange
69,15166191-n,lemma,eftermiddag
70,04924103-n,lemma,alder
71,04924103-n,lemma,levealder
72,15153787-n,lemma,alderdom
73,15153787-n,lemma,vinter
74,15254028-n,lemma,alder
75,00248512-v,lemma,ældes
76,08057206-n,lemma,bureau
77,06485261-n,lemma,dagsorden
78,09777353-n,lemma,agent
79,00082241-a,lemma,aggressiv
80,00032733-a,lemma,adræt
81,07495551-n,lemma,bedrøvelse
82,07495551-n,lemma,kval
83,07495551-n,lemma,pine
84,07495551-n,lemma,smerte
85,02657219-v,lemma,passe
86,00916464-n,lemma,landbrug
87,13265904-n,lemma,støtte
88,14127782-n,lemma,aids
89,14841267-n,lemma,luft
90,02690081-n,lemma,flyselskab
91,02690081-n,lemma,flyveselskab
92,02690081-n,lemma,luftfartsselskab
93,02692232-n,lemma,lufthavn
94,02694426-n,lemma,alarm
95,02694662-n,lemma,ur
96,02694662-n,lemma,vækkeur
97,07519773-n,lemma,uro
98,02695079-n,lemma,album
99,06591815-n,lemma,plade
100,07884567-n,lemma,alkohol
101,00091311-a,lemma,årvågen
102,00094448-a,lemma,levende
103,00802318-v,lemma,tillade
104,01987646-a,lemma,reserveret
105,02699494-n,lemma,alter
106,14627820-n,lemma,aluminium
107,09786585-n,lemma,amatør
108,00369504-a,lemma,ravfarvet
109,04825114-n,lemma,tvetydighed
110,00895442-a,lemma,tvetydig
111,04836268-n,lemma,ambition
112,00104051-a,lemma,ambitiøs
113,02701002-n,lemma,ambulance
114,06723635-n,lemma,tilføjelse
115,06723635-n,lemma,tillæg
