,Synset,Tipo,Info
0,05632175-n,lemma,سرزمین عجایب
1,09480699-n,lemma,سرزمین عجایب
2,06310237-n,lemma,شی
3,05632175-n,lemma,سرزمین پرنعمت
4,09480699-n,lemma,سرزمین پرنعمت
5,01794340-a,lemma,تجملی
6,01776468-v,lemma,علاقه داشتن به
7,01635432-v,lemma,علاقه داشتن به
8,05632732-n,lemma,امید واهی
9,02118242-v,lemma,رویا دیدن
10,01637633-v,lemma,رویا دیدن
11,02118242-v,lemma,خواب دیدن
12,05636887-n,lemma,چیره دستی
13,05637558-n,lemma,چیره دستی
14,05636048-n,lemma,نوازندگی
15,05636402-n,lemma,پوست آرایی
16,05636887-n,lemma,علوم
17,05999797-n,lemma,علوم
18,05638063-n,lemma,طرز کار
19,05638486-n,lemma,سواد
20,05638987-n,lemma,استعداد هنری
21,05639941-n,lemma,قایقرانی
22,08436036-n,lemma,ترکیب موجود زنده
23,00004475-n,lemma,ترکیب موجود زنده
24,05640040-n,lemma,نمایشگری
25,05636887-n,lemma,ورزیدگی
26,05637558-n,lemma,ورزیدگی
27,01776468-v,lemma,تصور کردن
28,01635432-v,lemma,تصور کردن
29,00631737-v,lemma,تصور کردن
30,05635321-n,lemma,بحث و جدلی
31,05643190-n,lemma,روش فنی
32,05665146-n,lemma,روش فنی
33,00004475-n,lemma,فرتاش
34,13954253-n,lemma,فرتاش
35,00005787-n,lemma,ته دریا
36,08578517-n,lemma,ته دریا
37,05643190-n,lemma,تکنیک
38,05665146-n,lemma,تکنیک
39,05644423-n,lemma,صنایع چوبی
40,05758548-n,lemma,صنایع چوبی
41,06311557-n,lemma,مفعول
42,05644527-n,lemma,بهره وری
43,13820993-n,lemma,بهره وری
44,05644527-n,lemma,راندمان
45,13820993-n,lemma,راندمان
46,10801291-n,lemma,راقم
47,10794014-n,lemma,راقم
48,00222879-r,lemma,یواش
49,00161630-r,lemma,یواش
50,05646926-n,lemma,خبط دماغ
51,05638486-n,lemma,با سوادی
52,05646926-n,lemma,سبک مغزی
53,05647643-n,lemma,بی مهارتی
54,00770437-v,lemma,سبب شدن
55,01645601-v,lemma,سبب شدن
56,05648953-n,lemma,بی ظرفیتی
57,05641720-n,lemma,عدم همکاری
58,05651242-n,lemma,فرهنگ لغات
59,00007846-n,lemma,یک کسی
60,00004475-n,lemma,موجود زنده
61,13954253-n,lemma,موجود زنده
62,09976429-n,lemma,آفریده
63,00007846-n,lemma,یک شخص
64,05658603-n,lemma,حس بویایی
65,05661400-n,lemma,علم اصول
66,06166898-n,lemma,علم اصول
67,05674927-n,lemma,برج عاج
68,06712325-n,lemma,موعظه
69,07243837-n,lemma,موعظه
70,05667404-n,lemma,سنن ملی
71,05809745-n,lemma,سنن ملی
72,02557719-a,lemma,ماده مغذی
73,00776262-n,lemma,اختلاس
74,00776732-n,lemma,اختلاس
75,05638987-n,lemma,استعداد هنرپیشگی
76,00684782-a,lemma,جازم
77,02585722-v,lemma,گرفته بودن
78,02772202-v,lemma,گرفته بودن
79,00006400-n,lemma,سلول
80,00024264-n,lemma,خواص
81,05849040-n,lemma,خواص
82,02627934-v,lemma,نیازمند بودن
83,01988080-v,lemma,فاصله گذاشتن
84,05692419-n,lemma,مشخص کننده
85,06649567-n,lemma,مشخص کننده
86,00007846-n,lemma,کسی
87,05870055-n,lemma,کسی
88,13742573-n,lemma,کسی
89,06420678-n,lemma,واژگان
90,06304059-n,lemma,واژگان
91,06326797-n,lemma,نفر
92,05664986-n,lemma,سبک علمی
93,05693206-n,lemma,بی تعقل
94,00015388-n,lemma,حیوانی
95,05706228-n,lemma,عدم توجه
96,05700401-n,lemma,عقده روحی
97,09183255-n,lemma,عقده روحی
98,05698247-n,lemma,عدم تحقق
99,13740168-n,lemma,نیستی
100,00067153-n,lemma,نیستی
101,05658603-n,lemma,حس شامه
102,02768120-v,lemma,متصاعدشدن
103,05980051-n,lemma,شک گرایی
104,05698982-n,lemma,شک گرایی
105,02772202-v,lemma,مغموم بودن
106,05714894-n,lemma,بخار دهان
107,05698982-n,lemma,شکاکی
108,05702726-n,lemma,اعتنا
109,06649567-n,lemma,تصمیم گیرنده
110,05671526-n,lemma,اقل
111,05711915-n,lemma,آهنگ شیرین
112,07028373-n,lemma,آهنگ شیرین
113,01764543-a,lemma,منع کننده
114,05689249-n,lemma,منع کننده
115,09180118-n,lemma,منع کننده
116,05108740-n,lemma,چندی
117,05919034-n,lemma,شهود
118,05707495-n,lemma,شهود
119,00353839-v,lemma,بی نتیجه ماندن
120,07423818-n,lemma,پدیده
121,00034213-n,lemma,پدیده
122,05919034-n,lemma,درک مستقیم
123,05707495-n,lemma,درک مستقیم
124,05714332-n,lemma,بوی مشک
125,14846646-n,lemma,بوی مشک
126,00353839-v,lemma,ریشه نکردن
127,01205696-v,lemma,تماس گرفتن
128,00743344-v,lemma,تماس گرفتن
129,05666700-n,lemma,کامپیوتری
130,00036762-n,lemma,فتح نمایان
131,05685030-n,lemma,سردرگمی
132,02753865-v,lemma,مخالفت کردن
133,00807461-v,lemma,مخالفت کردن
134,00213353-v,lemma,نمک پاشیدن
135,01162754-v,lemma,استثمار کردن
136,05674927-n,lemma,گوشه خلوت
137,00008007-r,lemma,سراسر
138,13954253-n,lemma,وجود
139,06326797-n,lemma,وجود
140,05217688-n,lemma,وجود
141,10417424-n,lemma,وجود
142,04617562-n,lemma,وجود
143,09466280-n,lemma,وجود
144,01136248-a,lemma,ممزوج
145,01796033-v,lemma,غضب کردن
146,02722902-v,lemma,غضب کردن
147,05734559-n,lemma,اتصاف
148,05734909-n,lemma,اتصاف
149,13452347-n,lemma,بازیافت
150,09260466-n,lemma,تبلور
151,01531265-v,lemma,برجسته کردن
152,05755156-n,lemma,حفظ کنی
153,05776875-n,lemma,رمل و اسطرلاب
154,05770926-n,lemma,با شعور
155,05777830-n,lemma,کف بینی
156,05755393-n,lemma,صدای موج
157,05778954-n,lemma,شبه علم
158,06750154-n,lemma,رسالت
159,05775407-n,lemma,رسالت
160,14411884-n,lemma,عمومی و رایج
161,05750163-n,lemma,عمومی و رایج
162,06750154-n,lemma,نبوت
163,05775407-n,lemma,نبوت
164,05774614-n,lemma,است باطی
165,05776015-n,lemma,تصور قبلی
166,05939109-n,lemma,تصور قبلی
167,00746366-v,lemma,اراده کردن
168,02124106-v,lemma,بدبودن
169,02674173-v,lemma,بدبودن
