,Synset,Tipo,Info
0,00001740-a,fra:lemma,comptable
1,00001740-n,fra:lemma,entité
2,00001740-v,fra:lemma,inspirer
3,00001740-v,fra:lemma,respirer
4,00001837-r,fra:lemma,ap. JC
5,00001837-r,fra:lemma,après Jésus-Christ
6,00001837-r,fra:lemma,ap. J.-C.
7,00001837-r,fra:lemma,après JC
8,00001837-r,fra:lemma,apr. J.-C.
9,00002098-a,fra:lemma,incapable
10,00002137-n,fra:lemma,abstraction
11,00002142-r,fra:lemma,av. J.-C.
12,00002312-a,fra:lemma,abaxial
13,00002436-r,fra:lemma,à cheval
14,00002452-n,fra:lemma,objet
15,00002452-n,fra:lemma,cause
16,00002452-n,fra:lemma,chose
17,00002527-a,fra:lemma,ventral
18,00002621-r,fra:lemma,à peine
19,00002621-r,fra:lemma,guère
20,00002684-n,fra:lemma,objet
21,00002684-n,fra:lemma,chose
22,00003093-r,fra:lemma,à peine
23,00003093-r,fra:lemma,guère
24,00003093-r,fra:lemma,difficilement
25,00003093-r,fra:lemma,pratiquement
26,00003431-v,fra:lemma,rot
27,00003431-v,fra:lemma,éructer
28,00003431-v,fra:lemma,roter
29,00003483-r,fra:lemma,basiquement
30,00003483-r,fra:lemma,essentiellement
31,00003483-r,fra:lemma,fondamentalement
32,00003483-r,fra:lemma,foncièrement
33,00003483-r,fra:lemma,sommairement
34,00003553-a,fra:lemma,émergent
35,00003553-a,fra:lemma,naissant
36,00003553-n,fra:lemma,unité
37,00003553-n,fra:lemma,tout
38,00003553-n,fra:lemma,ensemble
39,00003553-n,fra:lemma,totalité
40,00003826-v,fra:lemma,hoquet
41,00003826-v,fra:lemma,hoqueter
42,00003846-r,fra:lemma,ébullition
43,00004032-v,fra:lemma,soupir
44,00004171-a,fra:lemma,moribond
45,00004184-r,fra:lemma,critiquement
46,00004184-r,fra:lemma,négativement
47,00004227-v,fra:lemma,expirer
48,00004288-r,fra:lemma,négativement
49,00004296-a,fra:lemma,dernier
50,00004394-r,fra:lemma,aimablement
51,00004394-r,fra:lemma,gentiment
52,00004413-a,fra:lemma,abrégée
53,00004475-n,fra:lemma,organisme
54,00004475-n,fra:lemma,organisme vivant
55,00004475-n,fra:lemma,être
56,00004605-v,fra:lemma,exhaler
57,00004605-v,fra:lemma,émaner
58,00004615-a,fra:lemma,trancher
59,00004722-r,fra:lemma,simplement
60,00004722-r,fra:lemma,mais
61,00004722-r,fra:lemma,uniquement
62,00004722-r,fra:lemma,que
63,00004722-r,fra:lemma,sauf
64,00004722-r,fra:lemma,cependant
65,00004722-r,fra:lemma,seulement
66,00004819-v,fra:lemma,éternuement
67,00004819-v,fra:lemma,éternuer
68,00004967-r,fra:lemma,simplement
69,00004967-r,fra:lemma,seulement
70,00005041-v,fra:lemma,inhaler
71,00005041-v,fra:lemma,inspirer
72,00005041-v,fra:lemma,respirer
73,00005055-r,fra:lemma,simplement
74,00005055-r,fra:lemma,seulement
75,00005055-r,fra:lemma,strictement
76,00005205-a,fra:lemma,absolu
77,00005205-a,fra:lemma,pur
78,00005473-a,fra:lemma,direct
79,00005526-v,fra:lemma,haleter
80,00005526-v,fra:lemma,bouffée
81,00005567-r,fra:lemma,automatiquement
82,00005599-a,fra:lemma,absolu
83,00005599-a,fra:lemma,implicite
84,00005674-r,fra:lemma,horriblement
85,00005674-r,fra:lemma,terriblement
86,00005718-a,fra:lemma,infini
87,00005779-r,fra:lemma,largement
88,00005779-r,fra:lemma,immensément
89,00005779-r,fra:lemma,vastement
90,00005779-r,fra:lemma,beaucoup
91,00005779-r,fra:lemma,abondamment
92,00005815-v,fra:lemma,tousser
93,00005815-v,fra:lemma,toux
94,00006024-n,fra:lemma,Hétérotrophie
95,00006024-n,fra:lemma,hétérotrophie
96,00006032-a,fra:lemma,relatif
97,00006032-a,fra:lemma,relative
98,00006032-a,fra:lemma,parent
99,00006034-r,fra:lemma,grossièrement
100,00006034-r,fra:lemma,extrêmement
101,00006034-r,fra:lemma,vulgairement
102,00006034-r,fra:lemma,scandaleusement
103,00006105-r,fra:lemma,généralement
104,00006105-r,fra:lemma,la plupart du temps
105,00006238-v,fra:lemma,expectorer
106,00006238-v,fra:lemma,cracher
107,00006245-a,fra:lemma,relationnel
108,00006259-r,fra:lemma,significativement
109,00006259-r,fra:lemma,sensiblement
110,00006269-n,fra:lemma,vie
111,00006336-a,fra:lemma,absorbant
112,00006484-n,fra:lemma,cellule
113,00006610-r,fra:lemma,notablement
114,00006610-r,fra:lemma,sensiblement
115,00006610-r,fra:lemma,appréciablement
116,00006802-v,fra:lemma,bouffée
117,00007012-v,fra:lemma,souffler
118,00007015-r,fra:lemma,approximativement
119,00007015-r,fra:lemma,sensiblement
120,00007015-r,fra:lemma,environ
121,00007015-r,fra:lemma,à peu près
122,00007015-r,fra:lemma,peu ou prou
123,00007096-a,fra:lemma,hygroscopique
124,00007328-v,fra:lemma,bâillement
125,00007328-v,fra:lemma,bâiller
126,00007347-n,fra:lemma,cause
127,00007347-n,fra:lemma,raison
128,00007488-r,fra:lemma,vraiment
129,00007488-r,fra:lemma,absolument
130,00007516-a,fra:lemma,spongieux
131,00007549-v,fra:lemma,renifler
132,00007697-a,fra:lemma,assoiffé
133,00007703-r,fra:lemma,partiellement
134,00007703-r,fra:lemma,partie
135,00007703-r,fra:lemma,en partie
136,00007739-v,fra:lemma,ciller
137,00007846-n,fra:lemma,être humain
138,00007846-n,fra:lemma,individu
139,00007846-n,fra:lemma,personne
140,00007846-n,fra:lemma,quelqu’un
141,00007846-n,fra:lemma,quelqu'un
142,00007846-n,fra:lemma,humain
143,00007846-n,fra:lemma,homme
144,00007884-r,fra:lemma,moitié
145,00007884-r,fra:lemma,demi
146,00008007-r,fra:lemma,pleinement
147,00008007-r,fra:lemma,entièrement
148,00008007-r,fra:lemma,directement
149,00008007-r,fra:lemma,totalement
150,00008007-r,fra:lemma,parfaitement
151,00008007-r,fra:lemma,en même temps
152,00008007-r,fra:lemma,bien
153,00008007-r,fra:lemma,intégralement
154,00008007-r,fra:lemma,complètement
155,00008007-r,fra:lemma,tout
156,00008007-r,fra:lemma,tout à fait
157,00008195-v,fra:lemma,chauve-souris
158,00008435-v,fra:lemma,ciller
159,00008600-r,fra:lemma,mais
160,00008600-r,fra:lemma,seul
161,00008600-r,fra:lemma,uniquement
162,00008600-r,fra:lemma,que
163,00008600-r,fra:lemma,exclusivement
164,00008600-r,fra:lemma,seulement
165,00008602-v,fra:lemma,strabisme
166,00008997-r,fra:lemma,entièrement
167,00008997-r,fra:lemma,vraiment
168,00008997-r,fra:lemma,absolument
169,00008997-r,fra:lemma,totalement
170,00008997-r,fra:lemma,parfaitement
171,00009046-a,fra:lemma,tempérant
172,00009147-v,fra:lemma,muer
173,00009373-r,fra:lemma,nettoyer
174,00009373-r,fra:lemma,prune
175,00009373-r,fra:lemma,prunier
176,00009492-v,fra:lemma,desquamer
177,00009541-r,fra:lemma,prune
178,00009541-r,fra:lemma,prunier
179,00009618-a,fra:lemma,ascétique
180,00009618-a,fra:lemma,ascète
181,00009631-v,fra:lemma,tic
182,00009650-r,fra:lemma,parfaitement
183,00009966-r,fra:lemma,s'il te plaît
184,00009966-r,fra:lemma,s'il vous plaît
185,00009978-a,fra:lemma,vorace
186,00009978-a,fra:lemma,gourmand
187,00009978-a,fra:lemma,avide
188,00009978-a,fra:lemma,goulu
189,00009978-a,fra:lemma,glouton
190,00010047-r,fra:lemma,imparfaitement
191,00010435-v,fra:lemma,agir
192,00010435-v,fra:lemma,se comporter
193,00010466-r,fra:lemma,entièrement
194,00010466-r,fra:lemma,plein
195,00010466-r,fra:lemma,absolument
196,00010466-r,fra:lemma,totalement
197,00010466-r,fra:lemma,entier
198,00010466-r,fra:lemma,complètement
199,00010466-r,fra:lemma,en entier
200,00010726-a,fra:lemma,rapace
201,00010726-a,fra:lemma,vorace
202,00010759-r,fra:lemma,uniquement
203,00010759-r,fra:lemma,seul
204,00010759-r,fra:lemma,seulement
205,00010914-r,fra:lemma,seul
206,00010914-r,fra:lemma,seulement
207,00011011-r,fra:lemma,seul
208,00011011-r,fra:lemma,seulement
209,00011093-r,fra:lemma,alors
210,00011093-r,fra:lemma,puits
211,00011093-r,fra:lemma,bien
212,00011093-r,fra:lemma,bon
213,00011160-a,fra:lemma,cupide
214,00011160-a,fra:lemma,goulu
215,00011160-a,fra:lemma,glouton
216,00011516-r,fra:lemma,faiblement
217,00011516-r,fra:lemma,malade
218,00011516-r,fra:lemma,mal
219,00011551-v,fra:lemma,présumer
220,00011757-a,fra:lemma,abstraire
221,00011757-a,fra:lemma,abstrait
222,00011916-r,fra:lemma,malade
223,00012129-r,fra:lemma,alors
224,00012129-r,fra:lemma,puits
225,00012129-r,fra:lemma,bien
226,00012137-v,fra:lemma,menace
227,00012286-r,fra:lemma,mal
228,00012362-a,fra:lemma,conceptuel
229,00012434-v,fra:lemma,pavaner
230,00012531-r,fra:lemma,puits
231,00012531-r,fra:lemma,facilement
232,00012531-r,fra:lemma,mieux
233,00012531-r,fra:lemma,également
234,00012613-v,fra:lemma,geler
235,00012613-v,fra:lemma,devenir glacial
236,00012689-a,fra:lemma,idéal
237,00012779-r,fra:lemma,bien
238,00012779-r,fra:lemma,puits
239,00012932-a,fra:lemma,idéologique
240,00013092-r,fra:lemma,alors
241,00013092-r,fra:lemma,puits
242,00013092-r,fra:lemma,bien
243,00013160-a,fra:lemma,concret
244,00013160-a,fra:lemma,béton
245,00013236-r,fra:lemma,malade
246,00013236-r,fra:lemma,mal
247,00013328-v,fra:lemma,jouer
248,00013328-v,fra:lemma,jouet
249,00013328-v,fra:lemma,jeu
250,00013429-r,fra:lemma,bien
251,00013429-r,fra:lemma,puits
252,00013442-a,fra:lemma,objectif
253,00013615-v,fra:lemma,représenter
254,00013615-v,fra:lemma,jeu
255,00013615-v,fra:lemma,jouer
256,00013615-v,fra:lemma,sembler
257,00013615-v,fra:lemma,agir
258,00013615-v,fra:lemma,présenter
259,00013626-r,fra:lemma,largement
260,00013626-r,fra:lemma,bien
261,00013626-r,fra:lemma,puits
262,00013626-r,fra:lemma,richement
263,00013662-a,fra:lemma,réel
264,00013662-a,fra:lemma,tangible
265,00013793-r,fra:lemma,avantageusement
266,00013793-r,fra:lemma,bien
267,00013793-r,fra:lemma,heureusement
268,00013793-r,fra:lemma,puits
269,00013793-r,fra:lemma,favorablement
270,00013887-a,fra:lemma,ample
271,00013887-a,fra:lemma,large
272,00013887-a,fra:lemma,profus
273,00013887-a,fra:lemma,abondant
274,00013887-a,fra:lemma,plantureux
275,00013887-a,fra:lemma,copieux
276,00014014-r,fra:lemma,tant
277,00014014-r,fra:lemma,cruellement
278,00014014-r,fra:lemma,durement
279,00014014-r,fra:lemma,mal
280,00014201-v,fra:lemma,frissonner
281,00014285-r,fra:lemma,amplement
282,00014285-r,fra:lemma,puits
283,00014285-r,fra:lemma,terriblement
284,00014285-r,fra:lemma,bien
285,00014285-r,fra:lemma,sérieusement
286,00014285-r,fra:lemma,copieusement
287,00014285-r,fra:lemma,largement
288,00014285-r,fra:lemma,considérablement
289,00014405-v,fra:lemma,se reposer
290,00014490-a,fra:lemma,ample
291,00014490-a,fra:lemma,large
292,00014490-a,fra:lemma,profus
293,00014490-a,fra:lemma,abondant
294,00014490-a,fra:lemma,plantureux
295,00014490-a,fra:lemma,grand
296,00014616-r,fra:lemma,alors
297,00014616-r,fra:lemma,puits
298,00014616-r,fra:lemma,bien
299,00014738-r,fra:lemma,mal
300,00014742-v,fra:lemma,dormir
301,00014858-a,fra:lemma,étendu
302,00014858-a,fra:lemma,ample
303,00014858-a,fra:lemma,large
304,00014858-a,fra:lemma,profus
305,00014858-a,fra:lemma,abondant
306,00014858-a,fra:lemma,plantureux
307,00014858-a,fra:lemma,copieux
308,00014882-r,fra:lemma,bien
309,00014882-r,fra:lemma,puits
310,00015007-r,fra:lemma,alors
311,00015007-r,fra:lemma,puits
312,00015007-r,fra:lemma,bien
313,00015097-a,fra:lemma,facile
314,00015135-r,fra:lemma,alors
315,00015135-r,fra:lemma,puits
316,00015135-r,fra:lemma,bien
317,00015247-a,fra:lemma,ample
318,00015247-a,fra:lemma,large
319,00015247-a,fra:lemma,profus
320,00015247-a,fra:lemma,abondant
321,00015247-a,fra:lemma,plantureux
322,00015247-a,fra:lemma,copieux
323,00015247-a,fra:lemma,luxuriant
324,00015303-v,fra:lemma,somnoler
325,00015388-n,fra:lemma,bête
326,00015388-n,fra:lemma,créature
327,00015388-n,fra:lemma,faune
328,00015388-n,fra:lemma,animal
329,00015388-n,fra:lemma,être
330,00015471-r,fra:lemma,bien
331,00015471-r,fra:lemma,alors
332,00015471-r,fra:lemma,comme ça
333,00015471-r,fra:lemma,proprement
334,00015471-r,fra:lemma,est bon
335,00015471-r,fra:lemma,bon
336,00015498-v,fra:lemma,sieste
337,00015589-a,fra:lemma,long
338,00015854-a,fra:lemma,abondant
339,00015860-r,fra:lemma,largement
