,Synset,Tipo,Info
0,00001740-n,heb:lemma,יֵשׁוּת
1,00001740-n,heb:def,heb:deכל דבר שיש לו קיום
2,00002137-n,heb:lemma,הַפְשָׁטָה
3,00002137-n,heb:def,heb:deמושג כללי שמגיעים אליו על ידי הכללה מדברים קונקרטיים
4,00002684-n,heb:lemma,אוֹבְּיֶקְט
5,00002684-n,heb:lemma,חֵפֶץ
6,00002684-n,heb:def,"heb:deדבר בעל מהות פיזית, שניתן לחוש בו"
7,00003431-v,heb:lemma,גִּהֵק
8,00003431-v,heb:def,heb:deהוציא גזים מהקיבה דרך הפה
9,00003431-v,heb:def,heb:deבסין זה נחשב מנומס לגהק בשעת הארוחה
10,00003553-n,heb:lemma,מִכְלוֹל
11,00003553-n,heb:def,heb:deאוסף של חלקים שמתייחסים אליהם כאל ישות אחת
12,00003553-n,heb:def,heb:deמה גודלו של חלק זה ביחס למכלול?
13,00003826-v,heb:lemma,שִׁהֵק
14,00003826-v,heb:def,heb:deהשמיע קול אופייני להתכווצות לא רצונית של הסרעפת עקב בעיות עיכול או שיכרות
15,00003826-v,heb:def,"heb:deכשאתה מתחיל לשהק, תשתה כוס מים, וזה יעבור"
16,00004227-v,heb:lemma,נָפַח
17,00004227-v,heb:lemma,נָשַׁף
18,00004227-v,heb:def,heb:deהוציא אוויר דרך הפה או האף
19,00004227-v,heb:def,heb:deקח נשימה עמוקה ונשוף את כל האוויר החוצה
20,00004475-n,heb:lemma,חַי
21,00004475-n,heb:def,"heb:deכל ישות שיש בה רוח (בעלי חיים ובני אדם), בניגוד לצומח ולדומם"
22,00004819-v,heb:lemma,הִתְעַטֵּשׁ
23,00004819-v,heb:def,"heb:deהוציא אויר בפתאומיות מן האף והפה, כמו בעת הצטננות או גירוי באף"
24,00005041-v,heb:lemma,שָׁאַף
25,00005041-v,heb:def,heb:deהכניס אוויר לריאות
26,00005041-v,heb:def,"heb:deבזמן ביצוע תרגילי התעמלות, יש להקפיד לשאוף ולנשוף בזמן"
27,00005815-v,heb:lemma,הִשְׁתַּעֵל
28,00005815-v,heb:def,"heb:deהוציא אויר מהריאות בקול ובמהירות, כמו בזמן הצטננות או דלקת גרון"
29,00006032-a,heb:lemma,יַחֲסִי
30,00006032-a,heb:def,heb:deשאיננו מוחלט
31,00006269-n,heb:lemma,חַיִּים
32,00006269-n,heb:def,heb:deיצורים חיים באופן כללי
33,00006269-n,heb:def,heb:deהאוקינוס שורץ חיים
34,00006484-n,heb:lemma,תָּא
35,00006484-n,heb:def,heb:deהיחידה המבנית והתפקודית הבסיסית של כל היצורים החיים
36,00006484-n,heb:def,"heb:deתאים יכולים להתקיים באופן עצמאי, כחלק ממושבה, או במסגרת רקמות של צמחים ובעלי חיים מסדר אבולוציוני גבוה יותר"
37,00007015-r,heb:lemma,כְּ
38,00007015-r,heb:lemma,לְעֵרֶךְ
39,00007015-r,heb:lemma,בְּעֶרֶךְ
40,00007015-r,heb:lemma,פָּחוֹת-אוֹ-יוֹתֵר
41,00007015-r,heb:def,"heb:deבאופן לא מדויק, אך כמעט נכון"
42,00007015-r,heb:def,"heb:deהוא צריך להיות בן 40 בערך, למרות שהוא נראה צעיר בהרבה"
43,00007347-n,heb:lemma,יֵשׁוּת-גּוֹרֶמֶת
44,00007347-n,heb:def,"heb:deבאופן מופשט, כל דבר בעולם המהווה סיבה לדברים אחרים"
45,00007846-n,heb:lemma,מִישֶׁהוּ
46,00007846-n,heb:lemma,אָדָם
47,00007846-n,heb:lemma,אִישׁ
48,00007846-n,heb:def,heb:deמישהו דופק בדלת
49,00007846-n,heb:def,heb:deזה היה יותר מדי עבודה לאדם אחד
50,00008007-r,heb:lemma,לְגַמְרֵי
51,00008007-r,heb:lemma,לַחֲלוּטִין
52,00008007-r,heb:def,"heb:deבאופן מוחלט, ללא שיור"
53,00008007-r,heb:def,"heb:deאתה צודק לחלוטין, אין טעם להתווכח"
54,00008600-r,heb:lemma,רַק
55,00008600-r,heb:lemma,בִּלְבַד
56,00008600-r,heb:def,"heb:deבאופן בלעדי, בלי שאחרים מעורבים בכך"
57,00008600-r,heb:def,"heb:deבזמנו תרגמתי בשביל הרבה חברות, היום אני עובד עבור חברה אחת בלבד"
58,00011093-r,heb:lemma,הֵיטֵב
59,00011093-r,heb:lemma,טוֹב
60,00011093-r,heb:def,"heb:deבאופן משביע רצון, בצורה טובה"
61,00011093-r,heb:def,heb:deלא ישנתי כל כך טוב הלילה
62,00011093-r,heb:def,heb:deנאומו היה מנוסח היטב
63,00012362-a,heb:lemma,מֻשָּׂגִי
64,00012362-a,heb:lemma,קוֹנְסֶפְּטוּאָלִי
65,00012362-a,heb:def,"heb:deשייך למושגים או לעיצובם, או מאופיין על ידם"
66,00012362-a,heb:def,heb:deהסכיזופרן מאבד את היכולת לחשיבה קונספטואלית או מופשטת
67,00012932-a,heb:lemma,!רַעְיוֹנִי
68,00013160-a,heb:lemma,מוּחָשׁ
69,00013160-a,heb:lemma,מוּחָשִׁי
70,00013160-a,heb:lemma,קוֹנְקְרֶטִי
71,00013160-a,heb:def,heb:deשניתן לתפסו בחושים
72,00013160-a,heb:def,heb:deשאינו מופשט או דמיוני
73,00013160-a,heb:def,"heb:deהצגת הדברים באופן כזה, נתנה ביטוי מוחשי לכל רגשותיהם העצורים"
74,00013887-a,heb:lemma,שׁוֹפֵעַ
75,00013887-a,heb:def,heb:deשקיים בכמות גדולה
76,00013887-a,heb:def,heb:deהיה לו חוש הומור שופע ונדיר
77,00014034-v,heb:lemma,!רָעַד
78,00015303-v,heb:lemma,הִתְנַמְנֵם
79,00015303-v,heb:lemma,נִמְנֵם
80,00015303-v,heb:def,heb:deישן שינה קלה או לפרק זמן קצר
81,00015303-v,heb:def,"heb:deאני לא ממש ישנתי, רק נימנמתי לי מעט"
82,00015388-n,heb:lemma,בַּעַל-חַיִּים
83,00015388-n,heb:lemma,חַיָּה
84,00015388-n,heb:def,heb:deיצור חי המתאפיין ביכולת תנועה עצמאית
85,00015471-r,heb:lemma,מֵאָה-אָחוּז
86,00015471-r,heb:def,heb:deבאופן מספק
87,00015471-r,heb:def,"heb:deאל תדאג, בסוף היא תסדר מאה אחוז"
88,00017031-v,heb:lemma,נָחַר
89,00017031-v,heb:def,heb:deהשמיע נחירות במהלך השינה
90,00017222-n,heb:lemma,צֶמַח
91,00017222-n,heb:def,heb:deאורגניזם חי הגדל באדמה ומקבל את מזונו ממנה
92,00017222-n,heb:def,heb:deחסר יכולת תנועה רצונית
93,00017639-r,heb:lemma,אֲפִלּוּ
94,00017639-r,heb:lemma,אַף
95,00017639-r,heb:def,heb:deמילה הבאה להדגיש כי משהו גדול בעצמתו ביחס למצופה
96,00017639-r,heb:def,heb:deאפילו הקיצוניים שבחבורה חשבו שזה היה מוגזם
97,00018781-r,heb:lemma,לְמַדַּי
98,00018781-r,heb:lemma,דַּי
99,00018781-r,heb:def,"heb:deבמידה מסוימת, אך לא במידה רבה"
100,00018781-r,heb:def,"heb:deהאוכל פה טעים למדי, אם כי לא מדהים"
101,00019128-n,heb:lemma,עֶצֶם-טִבְעִי
102,00019128-n,heb:def,"heb:deאובייקט שנמצא בטבע, שאינו מעשה ידי אדם"
103,00020827-n,heb:lemma,עֶצֶם
104,00020827-n,heb:def,heb:deכל דבר בעל מאסה התופס מקום בכלל
105,00020827-n,heb:def,heb:deהאטום הוא העצם הקטן ביותר
106,00021065-v,heb:lemma,אִלְחֵשׁ
107,00021065-v,heb:lemma,הִרְדִּים
108,00021065-v,heb:def,heb:deגרם לחוסר תחושה עי מתן חומר הרדמה
109,00021065-v,heb:def,heb:deהרופאים מיהרו להרדים את החולה על מנת למנוע ממנו סבל מיותר
110,00021265-n,heb:lemma,אֹכֶל
111,00021265-n,heb:def,heb:deכל חומר הגורם לחילוף חומרים ביצור חי ונותן לו אנרגיה
112,00021265-n,heb:def,heb:deאדם אינו יכול לשרוד זמן רב ללא אוכל
113,00021878-r,heb:lemma,מִדֵּי-פַּעַם
114,00021878-r,heb:lemma,לִפְעָמִים
115,00021878-r,heb:lemma,לִפְרָקִים
116,00021878-r,heb:def,"heb:deמפעם לפעם, אך לא באופן קבוע"
117,00021878-r,heb:def,"heb:deלפעמים הם יוצאים לחופשות מאוד ארוכות, אבל בדרך כלל הם נוסעים רק לשבוע"
118,00021939-n,heb:lemma,חֵפֶץ מְלָאכוּתִי
119,00021939-n,heb:lemma,אַרְטִיפָקְט
120,00021939-n,heb:def,heb:deאובייקט שנעשה בידי אדם
121,00022099-v,heb:lemma,!הוֹבִיל
122,00022099-v,heb:lemma,!הֵבִיא
123,00023100-n,heb:lemma,מַהוּת-פְּסִיכוֹלוֹגִית
124,00023100-n,heb:def,heb:deתכונה מנטלית של יצור חי
125,00023271-n,heb:lemma,קוֹגְנִיצְיָה
