,Synset,Tipo,Info
0,00001740-a,hrv:lemma,kadar
1,00001740-a,hrv:lemma,sposoban
2,00001740-a,hrv:lemma,umješan
3,00001740-n,hrv:lemma,entitet
4,00001740-v,hrv:lemma,disati
5,00002098-a,hrv:lemma,nemoćan
6,00002098-a,hrv:lemma,nesposoban
7,00002137-n,hrv:lemma,apstrakcija
8,00002137-n,hrv:lemma,uopćenje
9,00002325-v,hrv:lemma,disati
10,00002452-n,hrv:lemma,jedinica
11,00002452-n,hrv:lemma,jedinka
12,00002452-n,hrv:lemma,stvar
13,00002573-v,hrv:lemma,odahnuti
14,00002684-n,hrv:lemma,fizički objekt
15,00002684-n,hrv:lemma,objekt
16,00002684-n,hrv:lemma,tijelo
17,00002724-v,hrv:lemma,grcati
18,00003093-r,hrv:lemma,teško
19,00003316-v,hrv:lemma,isisati
20,00003316-v,hrv:lemma,usisavati
21,00003431-v,hrv:lemma,podrignuti
22,00003553-n,hrv:lemma,cjelina
23,00003553-n,hrv:lemma,jedinica
24,00003826-v,hrv:lemma,štucati
25,00004032-v,hrv:lemma,uzdahnuti
26,00004032-v,hrv:lemma,uzdisati
27,00004227-v,hrv:lemma,izdahnuti
28,00004227-v,hrv:lemma,izdisati
29,00004258-n,hrv:lemma,živa stvar
30,00004258-n,hrv:lemma,živo biće
31,00004258-n,hrv:lemma,živuća stvar
32,00004258-n,hrv:lemma,živuće biće
33,00004475-n,hrv:lemma,organizam
34,00004475-n,hrv:lemma,živo biće
35,00004722-r,hrv:lemma,samo
36,00004819-v,hrv:lemma,kihati
37,00004819-v,hrv:lemma,kihnuti
38,00004967-r,hrv:lemma,jednostavno
39,00005041-v,hrv:lemma,inhalirati
40,00005041-v,hrv:lemma,udahnuti
41,00005041-v,hrv:lemma,udisati
42,00005055-r,hrv:lemma,jednostavno
43,00005205-a,hrv:lemma,apsolutan
44,00005526-v,hrv:lemma,dahtati
45,00005567-r,hrv:lemma,automatski
46,00005779-r,hrv:lemma,znatno
47,00005787-n,hrv:lemma,bentos
48,00005815-v,hrv:lemma,kašljati
49,00006032-a,hrv:lemma,relativan
50,00006105-r,hrv:lemma,uglavnom
51,00006238-v,hrv:lemma,iskašljati
52,00006238-v,hrv:lemma,iskašljavati
53,00006238-v,hrv:lemma,ispljunuti
54,00006238-v,hrv:lemma,ispljuvati
55,00006259-r,hrv:lemma,značajno
56,00006269-n,hrv:lemma,flora i fauna
57,00006269-n,hrv:lemma,život
58,00006484-n,hrv:lemma,stanica
59,00006697-v,hrv:lemma,soptati
60,00007015-r,hrv:lemma,oko
61,00007328-v,hrv:lemma,zijevati
62,00007328-v,hrv:lemma,zijevnuti
63,00007347-n,hrv:lemma,uzročnik
64,00007347-n,hrv:lemma,uzrok
65,00007488-r,hrv:lemma,apsolutno
66,00007549-v,hrv:lemma,šmrcati
67,00007703-r,hrv:lemma,djelomično
68,00007739-v,hrv:lemma,migati
69,00007739-v,hrv:lemma,trenuti
70,00007739-v,hrv:lemma,trepnuti
71,00007739-v,hrv:lemma,treptati
72,00007739-v,hrv:lemma,zažmiriti
73,00007739-v,hrv:lemma,žmirkati
74,00007846-n,hrv:lemma,čovjek
75,00007846-n,hrv:lemma,individua
76,00007846-n,hrv:lemma,osoba
77,00007846-n,hrv:lemma,pojedinac
78,00008007-r,hrv:lemma,potpuno
79,00008299-v,hrv:lemma,namigivati
80,00008299-v,hrv:lemma,namignuti
81,00008600-r,hrv:lemma,isključivo
82,00008602-v,hrv:lemma,škiljiti
83,00008799-v,hrv:lemma,škiljiti
84,00008997-r,hrv:lemma,apsolutno
85,00009147-v,hrv:lemma,linjati se
86,00009147-v,hrv:lemma,mitariti se
87,00009147-v,hrv:lemma,olinjati se
88,00009147-v,hrv:lemma,presvlačiti
89,00009147-v,hrv:lemma,presvući
90,00009631-v,hrv:lemma,gibati se
91,00009631-v,hrv:lemma,trzati se
92,00009631-v,hrv:lemma,trznuti se
93,00009650-r,hrv:lemma,savršeno
94,00010047-r,hrv:lemma,nesavršeno
95,00010054-v,hrv:lemma,nesvjesno se pomicati
96,00010054-v,hrv:lemma,refleksivno se micati
97,00010241-v,hrv:lemma,nesvjesno činiti
98,00010241-v,hrv:lemma,refleksivno raditi
99,00010435-v,hrv:lemma,ponašati se
100,00010435-v,hrv:lemma,ponijeti se
101,00010435-v,hrv:lemma,postupati
102,00010435-v,hrv:lemma,postupiti
103,00010435-v,hrv:lemma,vladati se
104,00010466-r,hrv:lemma,potpuno
105,00011093-r,hrv:lemma,dobro
106,00011516-r,hrv:lemma,slabo
107,00011757-a,hrv:lemma,apstraktan
108,00012267-v,hrv:lemma,steći
109,00012267-v,hrv:lemma,stjecati
110,00012267-v,hrv:lemma,učiniti
111,00012613-v,hrv:lemma,slediti se
112,00012613-v,hrv:lemma,smrznuti se
113,00012779-r,hrv:lemma,dobro
114,00012932-a,hrv:lemma,ideološki
115,00013160-a,hrv:lemma,konkretan
116,00013615-v,hrv:lemma,glumiti
117,00013615-v,hrv:lemma,izigravati
118,00013615-v,hrv:lemma,ponašati se
119,00013615-v,hrv:lemma,praviti se
120,00013615-v,hrv:lemma,pretvarati se
121,00013615-v,hrv:lemma,prikazivati se
122,00013887-a,hrv:lemma,obilan
123,00014034-v,hrv:lemma,drhtati
124,00014034-v,hrv:lemma,podrhtavati
125,00014034-v,hrv:lemma,tresti
126,00014034-v,hrv:lemma,tresti se
127,00014201-v,hrv:lemma,drhtati
128,00014201-v,hrv:lemma,drhturiti
129,00014201-v,hrv:lemma,naježiti se
130,00014201-v,hrv:lemma,uzdrhtati
131,00014201-v,hrv:lemma,zadrhtati
132,00014285-r,hrv:lemma,znatno
133,00014358-a,hrv:lemma,obilan
134,00014405-v,hrv:lemma,mirovati
135,00014405-v,hrv:lemma,preostati
136,00014549-v,hrv:lemma,biti u pokretu
137,00014549-v,hrv:lemma,kretati se
138,00014742-v,hrv:lemma,spavati
139,00015303-v,hrv:lemma,dremuckati
140,00015303-v,hrv:lemma,kunjati
141,00015303-v,hrv:lemma,prodrijemati
142,00015388-n,hrv:lemma,životinja
