,Synset,Tipo,Info
0,01436003-a,isl:lemma,lágur
1,05896059-n,isl:lemma,hugarburður
2,00113818-a,isl:lemma,illur
3,07734017-n,isl:lemma,tómatur
4,14285662-n,isl:lemma,meiðsl
5,03547054-n,isl:lemma,kofi
6,04530566-n,isl:lemma,gnoð
7,01036383-a,isl:lemma,innfæddur
8,04100620-n,isl:lemma,röntgenmynd
9,00708128-v,isl:lemma,skipuleggja
10,01228245-n,isl:lemma,riddaramennska
11,00883226-v,isl:lemma,monta sig
12,02538086-v,isl:lemma,tengjast
13,15209413-n,isl:lemma,mánuður
14,14440137-n,isl:lemma,niðurlæging
15,02581675-v,isl:lemma,verja
16,01459295-a,isl:lemma,óáfengur
17,02159955-n,isl:lemma,padda
18,00007347-n,isl:lemma,málstaður
19,02908217-n,isl:lemma,skrúbbur
20,03862676-n,isl:lemma,ónn
21,14447525-n,isl:lemma,velfarnan
22,04869106-n,isl:lemma,falsleysi
23,04862005-n,isl:lemma,viljakraftur
24,00879540-v,isl:lemma,skipa
25,02441022-v,isl:lemma,skipa fyrir
26,00166146-a,isl:lemma,myndarlegur
27,11462526-n,isl:lemma,vindur
28,02460964-a,isl:lemma,ósvikinn
29,07578093-n,isl:lemma,teiti
30,03661043-n,isl:lemma,bókhlaða
31,00171127-v,isl:lemma,breyta
32,01471723-a,isl:lemma,lítilsháttar
33,02105990-a,isl:lemma,angursamur
34,03020034-n,isl:lemma,kubbur
35,09770949-n,isl:lemma,ráðandi
36,03877845-n,isl:lemma,villa
37,05718254-n,isl:lemma,hljómur
38,06784003-n,isl:lemma,verkefni
39,03854065-n,isl:lemma,orgel
40,05121418-n,isl:lemma,úi
41,00806512-a,isl:lemma,leiðinlegur
42,02818832-n,isl:lemma,hvíla
43,02840478-a,isl:lemma,starfs-
44,00966599-n,isl:lemma,gripdeildir
45,14438788-n,isl:lemma,mannorð
46,06566077-n,isl:lemma,hugbúnaður
47,00939857-v,isl:lemma,túlka
48,07238694-n,isl:lemma,ávarp
49,07507098-n,isl:lemma,minnkun
50,00018158-v,isl:lemma,koma sér á lappir
51,07642933-n,isl:lemma,ávaxtamauk
52,05119714-n,isl:lemma,umfram
53,01494273-a,isl:lemma,árstíðabundinn
54,00582388-n,isl:lemma,starf
55,01955984-v,isl:lemma,reisa
56,02436341-a,isl:lemma,vorkunnsamur
57,05859630-n,isl:lemma,margfeldi
58,10203839-n,isl:lemma,mannsbarn
59,04008634-n,isl:lemma,eldflaug
60,07414922-n,isl:lemma,hittingur
61,14444114-n,isl:lemma,einokun
62,09247410-n,isl:lemma,ský
63,03570709-n,isl:lemma,efni
64,05933246-n,isl:lemma,sýn
65,01291589-a,isl:lemma,færanlegur
66,02871858-a,isl:lemma,staðbundinn
67,13955461-n,isl:lemma,reynd
68,00082241-a,isl:lemma,ágengur
69,02678839-v,isl:lemma,hrífa
