,Synset,Tipo,Info
0,00001740-n,eus:lemma,entitate
1,00001740-n,eus:lemma,izaki
2,00001740-n,eus:lemma,sorkari
3,00001740-v,eus:lemma,arnasa hartu
4,00001740-v,eus:lemma,arnastu
5,00001740-v,eus:lemma,hats hartu
6,00002137-n,eus:lemma,abstrakzio
7,00002684-n,eus:lemma,gauza
8,00002684-n,eus:lemma,gauzaki
9,00002684-n,eus:lemma,objektu
10,00002724-v,eus:lemma,arnasa estutu
11,00002724-v,eus:lemma,bete
12,00002724-v,eus:lemma,ito
13,00003431-v,eus:lemma,korrok egin
14,00003431-v,eus:lemma,korrokada egin
15,00003431-v,eus:lemma,poker egin
16,00003553-n,eus:lemma,unitate
17,00003826-v,eus:lemma,zotin egin
18,00004032-v,eus:lemma,hasperen egin
19,00004032-v,eus:lemma,zizpurutu
20,00004258-n,eus:lemma,bizidun
21,00004258-n,eus:lemma,izaki bizidun
22,00004258-n,eus:lemma,organismo
23,00004605-v,eus:lemma,barreiatu
24,00004605-v,eus:lemma,igorri
25,00004605-v,eus:lemma,jariatu
26,00004605-v,eus:lemma,jario
27,00004819-v,eus:lemma,doministiku egin
28,00004819-v,eus:lemma,usin egin
29,00005041-v,eus:lemma,arnasa hartu
30,00005041-v,eus:lemma,arnastu
31,00005526-v,eus:lemma,arnasestuka jarri
32,00005526-v,eus:lemma,hatsanditu
33,00005815-v,eus:lemma,eztul egin
34,00006269-n,eus:lemma,bizi
35,00006269-n,eus:lemma,bizitza
36,00006400-n,eus:lemma,unitate bizidun berezitu
37,00006484-n,eus:lemma,zelula
38,00006523-v,eus:lemma,arnasbehartu
39,00006523-v,eus:lemma,arnasotsa atera
40,00006697-v,eus:lemma,arnasestuka jarri
41,00006697-v,eus:lemma,hatsanditu
42,00006697-v,eus:lemma,hatsantu
43,00007012-v,eus:lemma,haize egin
44,00007012-v,eus:lemma,putz egin
45,00007328-v,eus:lemma,aharrausi egin
46,00007347-n,eus:lemma,kausa
47,00007549-v,eus:lemma,esnifatu
48,00007549-v,eus:lemma,usain egin
49,00007549-v,eus:lemma,usaindu
50,00007549-v,eus:lemma,usnatu
51,00007739-v,eus:lemma,kliskatu
52,00007846-n,eus:lemma,arima
53,00007846-n,eus:lemma,gizabanako
54,00007846-n,eus:lemma,gizaki
55,00007846-n,eus:lemma,gizon
56,00007846-n,eus:lemma,kristau
57,00007846-n,eus:lemma,lagun
58,00007846-n,eus:lemma,pertsona
59,00008195-v,eus:lemma,kliskatu
60,00008299-v,eus:lemma,keinu egin
61,00008299-v,eus:lemma,kliskatu
62,00008602-v,eus:lemma,ezkelka begiratu
63,00009147-v,eus:lemma,azalberritu
64,00009147-v,eus:lemma,ileberritu
65,00009147-v,eus:lemma,lumaberritu
66,00010435-v,eus:lemma,jokatu
67,00010435-v,eus:lemma,portatu
68,00013615-v,eus:lemma,itxura egin
69,00014034-v,eus:lemma,astindu
70,00014034-v,eus:lemma,eragin
71,00014201-v,eus:lemma,dar-dar egin
72,00014201-v,eus:lemma,dardaratu
73,00014201-v,eus:lemma,ikaratu
74,00014742-v,eus:lemma,lo egin
75,00015303-v,eus:lemma,kuluxka bat egin
76,00015388-n,eus:lemma,abere
77,00015388-n,eus:lemma,animalia
78,00015388-n,eus:lemma,fauna
79,00015498-v,eus:lemma,siesta egin
80,00017031-v,eus:lemma,zurrungatu
81,00017222-n,eus:lemma,flora
82,00017222-n,eus:lemma,landare
83,00018158-v,eus:lemma,jaiki
84,00018526-v,eus:lemma,esnatu
85,00018526-v,eus:lemma,itzarri
86,00018813-v,eus:lemma,iratzarri
87,00019128-n,eus:lemma,objektu natural
88,00019613-n,eus:lemma,gai
89,00019613-n,eus:lemma,substantzia
90,00019982-v,eus:lemma,ultzera sortu
91,00019982-v,eus:lemma,ultzeratu
92,00020671-v,eus:lemma,hipnotizatu
93,00020827-n,eus:lemma,gai
94,00020827-n,eus:lemma,materia
95,00020827-n,eus:lemma,substantzia
96,00021265-n,eus:lemma,bizigai
97,00021265-n,eus:lemma,elikagai
98,00021265-n,eus:lemma,hazkurri
99,00021265-n,eus:lemma,jaki
100,00021265-n,eus:lemma,jan
101,00021265-n,eus:lemma,janari
102,00021265-n,eus:lemma,jangai
103,00021265-n,eus:lemma,jangarri
104,00021265-n,eus:lemma,jateko
105,00021939-n,eus:lemma,artefaktu
106,00022686-v,eus:lemma,adore eman
107,00022686-v,eus:lemma,bizitu
108,00022686-v,eus:lemma,bizkortu
109,00022686-v,eus:lemma,suspertu
110,00022903-n,eus:lemma,gai
111,00023100-n,eus:lemma,ezaugarri psikologiko
112,00023271-n,eus:lemma,kognizio
113,00023646-v,eus:lemma,ondoezik jarri
114,00023646-v,eus:lemma,zorabiatu
115,00023773-n,eus:lemma,eragite
116,00023773-n,eus:lemma,motibazio
117,00024264-n,eus:lemma,nolakotasun
118,00024649-v,eus:lemma,freskatu
119,00024720-n,eus:lemma,egoera
120,00025654-v,eus:lemma,baretu
121,00025654-v,eus:lemma,erlaxatu
122,00025654-v,eus:lemma,lasaitu
123,00026153-v,eus:lemma,urduritu
124,00026192-n,eus:lemma,sentimendu
125,00026385-v,eus:lemma,baretu
126,00026385-v,eus:lemma,erlaxatu
127,00026385-v,eus:lemma,lsaitu
128,00027167-n,eus:lemma,leku
129,00027167-n,eus:lemma,toki
130,00027268-v,eus:lemma,luzatu
131,00027807-n,eus:lemma,forma
132,00028270-n,eus:lemma,denbora
133,00028565-v,eus:lemma,irribarre egin
134,00029378-n,eus:lemma,gertaera
135,00029378-n,eus:lemma,gertakari
136,00029378-n,eus:lemma,gertakizun
137,00029378-n,eus:lemma,jazoera
