,Synset,Tipo,Info
0,00001740-a,glg:lemma,apto
1,00001740-a,glg:lemma,capaz
2,00001740-a,glg:lemma,competente
3,00001740-n,glg:lemma,entidade
4,00001740-v,glg:lemma,alentar
5,00001740-v,glg:lemma,respirar
6,00001930-n,glg:lemma,entidade física
7,00002098-a,glg:lemma,incapaz
8,00002137-n,glg:lemma,abstracción
9,00002137-n,glg:lemma,entidade abstracta
10,00002312-a,glg:lemma,abaxial
11,00002312-a,glg:lemma,dorsal
12,00002452-n,glg:lemma,cousa
13,00002527-a,glg:lemma,adaxial
14,00002527-a,glg:lemma,ventral
15,00002621-r,glg:lemma,case non
16,00002621-r,glg:lemma,dificilmente
17,00002684-n,glg:lemma,cousa
18,00002684-n,glg:lemma,obxecto
19,00002684-n,glg:lemma,obxecto físico
20,00002684-n,glg:lemma,obxecto inanimado
21,00002730-a,glg:lemma,acroscópico
22,00002843-a,glg:lemma,basiscópico
23,00002956-a,glg:lemma,abdutor
24,00003131-a,glg:lemma,adutor
25,00003316-v,glg:lemma,aspirar
26,00003356-a,glg:lemma,incipiente
27,00003356-a,glg:lemma,nacente
28,00003483-r,glg:lemma,basicamente
29,00003483-r,glg:lemma,esencialmente
30,00003483-r,glg:lemma,fundamentalmente
31,00003483-r,glg:lemma,principalmente
32,00003553-n,glg:lemma,total
33,00003553-n,glg:lemma,totalidade
34,00003553-n,glg:lemma,unidade
35,00003939-a,glg:lemma,agonizante
36,00003939-a,glg:lemma,agónico
37,00003939-a,glg:lemma,moribundo
38,00004032-v,glg:lemma,suspirar
39,00004296-a,glg:lemma,derradeiro
40,00004296-a,glg:lemma,postremeiro
41,00004296-a,glg:lemma,postremo
42,00004296-a,glg:lemma,último
43,00004394-r,glg:lemma,amabelmente
44,00004394-r,glg:lemma,amablemente
45,00004413-a,glg:lemma,abreviado
46,00004413-a,glg:lemma,compendiado
47,00004413-a,glg:lemma,conciso
48,00004413-a,glg:lemma,resumido
49,00004413-a,glg:lemma,simplificado
50,00004413-a,glg:lemma,sucinto
51,00004475-n,glg:lemma,organismo
