,Synset,Tipo,Info
0,00001740-a,zsm:lemma,berdaya
1,00001740-a,zsm:lemma,keahlian
2,00001740-a,zsm:lemma,layak
3,00001740-a,zsm:lemma,mahir
4,00001740-a,zsm:lemma,berkebolehan
5,00001740-n,zsm:lemma,hakikat
6,00001740-n,zsm:lemma,keberadaan
7,00001740-n,zsm:lemma,kewujudan
8,00001740-n,zsm:lemma,sesuatu
9,00001740-n,zsm:lemma,tablet
10,00001740-n,zsm:lemma,entiti
11,00001740-v,zsm:lemma,menarik
12,00001740-v,zsm:lemma,menghirup
13,00001740-v,zsm:lemma,nafas
14,00001740-v,zsm:lemma,bernafas
15,00001740-v,zsm:lemma,menarik nafas
16,00001740-v,zsm:lemma,menghembuskan
17,00001740-v,zsm:lemma,menyedut
18,00001740-v,zsm:lemma,pernafasan
19,00001740-v,zsm:lemma,tersedut
20,00002137-n,zsm:lemma,abstraksi
21,00002137-n,zsm:lemma,pengasingan
22,00002137-n,zsm:lemma,peniskalaan
23,00002312-a,zsm:lemma,belakang
24,00002312-a,zsm:lemma,dorsal
25,00002325-v,zsm:lemma,bernafas
26,00002452-n,zsm:lemma,benda
27,00002573-v,zsm:lemma,bernafas
28,00002621-r,zsm:lemma,cuma
29,00002621-r,zsm:lemma,hanya
30,00002621-r,zsm:lemma,memang
31,00002621-r,zsm:lemma,sedang
32,00002621-r,zsm:lemma,sungguh
33,00002684-n,zsm:lemma,barang
34,00002684-n,zsm:lemma,benda
35,00002684-n,zsm:lemma,objek
36,00002724-v,zsm:lemma,melemaskan
37,00002724-v,zsm:lemma,mencekik
38,00002724-v,zsm:lemma,tercekik
39,00002724-v,zsm:lemma,tersedak
40,00002942-v,zsm:lemma,terengah-engah
41,00003093-r,zsm:lemma,hanya
42,00003431-v,zsm:lemma,bergerobok
43,00003431-v,zsm:lemma,bersenang-senang
44,00003431-v,zsm:lemma,bertahak
45,00003431-v,zsm:lemma,betahak
46,00003431-v,zsm:lemma,menggelegak
47,00003431-v,zsm:lemma,menggelembung
48,00003431-v,zsm:lemma,menggerobok
49,00003431-v,zsm:lemma,bersendawa
50,00003553-n,zsm:lemma,semuanya
51,00003553-n,zsm:lemma,unit
52,00003826-v,zsm:lemma,sedu
53,00003826-v,zsm:lemma,tersedu-sedu
54,00003826-v,zsm:lemma,tersedu
55,00003829-a,zsm:lemma,melahirkan
56,00003846-r,zsm:lemma,menindih
57,00004032-v,zsm:lemma,berkeluh
58,00004032-v,zsm:lemma,hai
59,00004032-v,zsm:lemma,keluhan
60,00004032-v,zsm:lemma,mengeluh
61,00004032-v,zsm:lemma,keluh-kesah
62,00004171-a,zsm:lemma,nazak
63,00004227-v,zsm:lemma,berakhir
64,00004227-v,zsm:lemma,mati
65,00004227-v,zsm:lemma,menghembus
66,00004227-v,zsm:lemma,menghembuskan
67,00004394-r,zsm:lemma,kiranya
68,00004475-n,zsm:lemma,benda hidup
69,00004475-n,zsm:lemma,insan
70,00004475-n,zsm:lemma,makhluk
71,00004475-n,zsm:lemma,manusia
72,00004475-n,zsm:lemma,orang
73,00004475-n,zsm:lemma,organisma
74,00004492-v,zsm:lemma,tahan
75,00004605-v,zsm:lemma,menunjukkan
76,00004605-v,zsm:lemma,menghembus
77,00004605-v,zsm:lemma,menghembuskan
78,00004722-r,zsm:lemma,baru
79,00004722-r,zsm:lemma,cuma
80,00004722-r,zsm:lemma,melainkan
81,00004722-r,zsm:lemma,memang
82,00004722-r,zsm:lemma,saja
83,00004722-r,zsm:lemma,sedangkan
84,00004722-r,zsm:lemma,sederhana
85,00004722-r,zsm:lemma,semata-mata
86,00004722-r,zsm:lemma,tetapi
87,00004722-r,zsm:lemma,cuman
88,00004722-r,zsm:lemma,hanya
89,00004722-r,zsm:lemma,masih
90,00004722-r,zsm:lemma,sahaja
91,00004722-r,zsm:lemma,cuba
92,00004819-v,zsm:lemma,bersin
93,00005041-v,zsm:lemma,menarik
94,00005041-v,zsm:lemma,menghayati
95,00005041-v,zsm:lemma,menghidu
96,00005041-v,zsm:lemma,menghirup
97,00005041-v,zsm:lemma,mengobarkan
98,00005041-v,zsm:lemma,menyedot
99,00005041-v,zsm:lemma,menyerot
100,00005041-v,zsm:lemma,menarik nafas
101,00005041-v,zsm:lemma,menyedut
102,00005107-a,zsm:lemma,lengkap
103,00005205-a,zsm:lemma,sempurna
104,00005205-a,zsm:lemma,mutlak
105,00005205-a,zsm:lemma,kemutlakan
106,00005473-a,zsm:lemma,betul-betul
107,00005473-a,zsm:lemma,langsung
108,00005473-a,zsm:lemma,sama sekali
109,00005526-v,zsm:lemma,beralun
110,00005526-v,zsm:lemma,membinjat
111,00005526-v,zsm:lemma,mencungap
112,00005526-v,zsm:lemma,mengalun
113,00005526-v,zsm:lemma,terengah-engah
114,00005526-v,zsm:lemma,berkempul-kempul
115,00005526-v,zsm:lemma,cungap
116,00005526-v,zsm:lemma,cungap-cangip
117,00005526-v,zsm:lemma,gempul-gempul
118,00005526-v,zsm:lemma,kesuh-kesih
119,00005526-v,zsm:lemma,tercungap-cungap
120,00005526-v,zsm:lemma,terkapah-kapah
121,00005526-v,zsm:lemma,termengah-mengah
122,00005526-v,zsm:lemma,cungapan
123,00005526-v,zsm:lemma,engap-engapan
124,00005526-v,zsm:lemma,mengengah-engah
125,00005526-v,zsm:lemma,terhungap
126,00005526-v,zsm:lemma,tersengah-sengah
