,Synset,Tipo,Info
0,02827950-a,nld:lemma,hydro-elektrisch
1,02718845-a,nld:lemma,elektroforetisch
2,00153239-a,nld:lemma,begaanbaar
3,02934744-a,nld:lemma,hormonaal
4,02898276-a,nld:lemma,organisatorisch
5,02909952-a,nld:lemma,autografisch
6,01773234-a,nld:lemma,doorlatend
7,03007530-a,nld:lemma,hemolytisch
8,03059033-a,nld:lemma,cyrillisch
9,00847399-a,nld:lemma,facultatief
10,00865201-a,nld:lemma,inzetbaar
11,02418538-a,nld:lemma,ondenkbaar
12,01246579-a,nld:lemma,minnelijk
13,03059340-a,nld:lemma,dactylisch
14,00419289-a,nld:lemma,besmeurd
15,01716491-a,nld:lemma,onverkwikkelijk
16,00976123-a,nld:lemma,stijlloos
17,02679858-a,nld:lemma,kankerverwekkend
18,01986483-a,nld:lemma,verenigbaar
19,00475996-a,nld:lemma,aangenaam
20,02780680-a,nld:lemma,platonisch
21,00092933-a,nld:lemma,heuristisch
22,00465737-a,nld:lemma,demontabel
23,02965274-a,nld:lemma,exponentieel
24,02755190-a,nld:lemma,vlinderbloemig
25,02710438-a,nld:lemma,leverbaar
26,02533810-a,nld:lemma,afwasbaar
27,01497736-a,nld:lemma,betekenisloos
28,00721505-a,nld:lemma,onbetwistbaar
29,02778016-a,nld:lemma,frenologisch
30,02309341-a,nld:lemma,stimulerend
31,01743217-a,nld:lemma,boetvaardig
32,01348258-a,nld:lemma,intrinsiek
33,02774269-a,nld:lemma,parhelisch
34,00753378-a,nld:lemma,onwaardig
35,01227137-a,nld:lemma,oneervol
36,01316222-a,nld:lemma,geremd
37,00068278-a,nld:lemma,onverstandig
38,01599228-a,nld:lemma,bloeddrukverlagend
39,02905591-a,nld:lemma,geologisch
40,03010664-a,nld:lemma,vertebraal
41,02357479-a,nld:lemma,verbaasd
42,01975138-a,nld:lemma,relevant
43,03018498-a,nld:lemma,taxonomisch
44,00698262-a,nld:lemma,afgeleid
45,02998988-a,nld:lemma,honderdjarig
46,00156839-a,nld:lemma,assertief
47,01293158-a,nld:lemma,geneigd
48,02901178-a,nld:lemma,intermoleculair
49,02595255-a,nld:lemma,omkeerbaar
50,02805735-a,nld:lemma,purulent
51,02761944-a,nld:lemma,voorchristelijk
52,01798828-a,nld:lemma,bestudeerd
53,01983797-a,nld:lemma,berucht
54,00598203-a,nld:lemma,gestopt
55,01739693-a,nld:lemma,geplaveid
56,02888757-a,nld:lemma,sublitoraal
57,02890703-a,nld:lemma,intraveneus
58,00353206-a,nld:lemma,onveranderd
59,00247013-a,nld:lemma,onbevlekt
60,02775934-a,nld:lemma,monetair
61,02675738-a,nld:lemma,calorimetrisch
62,02395115-a,nld:lemma,smaakvol
63,02726921-a,nld:lemma,afebriel
64,02669806-a,nld:lemma,brahmaans
65,02916230-a,nld:lemma,dermatologisch
66,02838470-a,nld:lemma,transpolair
67,02317327-a,nld:lemma,gedraaid
68,00483048-a,nld:lemma,onevenredig
69,01143279-a,nld:lemma,plots
70,02997329-a,nld:lemma,prosodisch
71,00513165-a,nld:lemma,competitief
72,02763927-a,nld:lemma,metrologisch
73,02844728-a,nld:lemma,kegelvormig
74,02945377-a,nld:lemma,perceptueel
75,02639302-a,nld:lemma,aartshertogelijk
76,02686046-a,nld:lemma,rentedragend
77,01832945-a,nld:lemma,beschonken
78,00315383-a,nld:lemma,insectenetend
79,00955115-a,nld:lemma,speelbaar
80,00098736-a,nld:lemma,exocrien
81,03011036-a,nld:lemma,limbisch
82,02154635-a,nld:lemma,ongeschoren
83,01739456-a,nld:lemma,onverpakt
84,02153472-a,nld:lemma,geschoren
85,01357966-a,nld:lemma,uitputtend
86,03095068-a,nld:lemma,orthopedisch
87,01704761-a,nld:lemma,uitgesproken
88,03115053-a,nld:lemma,schismatiek
89,00657198-a,nld:lemma,derdegraads
90,02730304-a,nld:lemma,formalistisch
91,02921753-a,nld:lemma,Rooms
92,02839865-a,nld:lemma,listig
93,02643673-a,nld:lemma,evenhoevig
94,01417790-a,nld:lemma,lineair
95,00264776-a,nld:lemma,lafhartig
96,02682298-a,nld:lemma,wrattig
97,02381189-a,nld:lemma,asyndetisch
98,02724166-a,nld:lemma,exegetisch
99,02827160-a,nld:lemma,galvanisch
100,00900478-a,nld:lemma,exoterisch
101,02726921-a,nld:lemma,koortsvrij
102,02283703-a,nld:lemma,gesproken
103,00241672-a,nld:lemma,tweevoetig
104,03030515-a,nld:lemma,veelzeggend
105,00797113-a,nld:lemma,drinkbaar
106,00262529-a,nld:lemma,langschedelig
107,00180211-a,nld:lemma,ongrondwettig
108,00753786-a,nld:lemma,tweezaadlobbig
109,03001153-a,nld:lemma,genotzuchtig
110,03002190-a,nld:lemma,systematisch
111,02979995-a,nld:lemma,hydrodynamisch
112,03135137-a,nld:lemma,antropocentrisch
113,00958151-a,nld:lemma,rechtvaardig
114,01105620-a,nld:lemma,aspecifiek
115,00298767-a,nld:lemma,onwelluidend
116,03058501-a,nld:lemma,cyclopisch
117,00923993-a,nld:lemma,beschuldigend
118,03028338-a,nld:lemma,Alexandrijns
119,02914213-a,nld:lemma,therapeutisch
120,01871949-a,nld:lemma,onrendabel
121,02940292-a,nld:lemma,expansionistisch
122,02088086-a,nld:lemma,onzeewaardig
123,01725273-a,nld:lemma,onbegaanbaar
124,01753365-a,nld:lemma,bederfelijk
125,03126399-a,nld:lemma,driewaardig
126,01118568-a,nld:lemma,geocentrisch
127,02707659-a,nld:lemma,culinair
128,01992149-a,nld:lemma,besluiteloos
129,00467913-a,nld:lemma,distributief
130,00156101-a,nld:lemma,zelfbewust
131,02791483-a,nld:lemma,sadomasochistisch
132,02993362-a,nld:lemma,geodetisch
133,01260023-a,nld:lemma,humaan
134,03048680-a,nld:lemma,biografisch
