,Synset,Tipo,Info
0,02667379-n,lemma,kloster
1,05200169-n,lemma,evne
2,02427334-v,lemma,avskaffe
3,00243900-v,lemma,forkorte
4,02765464-v,lemma,absorbere
5,00419908-n,lemma,mishandling
6,06715223-n,lemma,fornærme
7,02669885-n,lemma,akademi
8,00668805-v,lemma,akseptere
9,00180413-n,lemma,aksept
10,05176188-n,lemma,tilgang
11,05175467-n,lemma,tilgang
12,07301336-n,lemma,uhell
13,06738281-n,lemma,forteljing
14,06738281-n,lemma,historie
15,06738281-n,lemma,soge
16,13354985-n,lemma,kontoutskrift
17,09761403-n,lemma,revisor
18,00035189-n,lemma,prestasjon
19,14607521-n,lemma,syre
20,05817145-n,lemma,kjennskap
21,00030358-n,lemma,handling
22,07009640-n,lemma,akt
23,01181902-n,lemma,rettssak
24,06373513-n,lemma,handling
25,04635104-n,lemma,aktivitet
26,08491027-n,lemma,adresse
27,00150287-v,lemma,justere
28,07500741-n,lemma,ærefrykt
29,07500741-n,lemma,beundring
30,07500741-n,lemma,respekt
31,07500741-n,lemma,vørdnad
32,01827858-v,lemma,beundre
33,01827858-v,lemma,sjå opp til
34,13321495-n,lemma,inngang
35,00817311-v,lemma,innrømme
36,00817311-v,lemma,vedgå
37,00817311-v,lemma,vedstå
38,01185292-n,lemma,adopsjon
39,13375891-n,lemma,forskot
40,00796315-n,lemma,eventyr
41,07248801-n,lemma,reklame
42,06671484-n,lemma,råd
43,09774266-n,lemma,rådgivar
44,09774783-n,lemma,talsmann
45,13931889-n,lemma,affære
46,00137313-v,lemma,påverke
47,00838043-v,lemma,simulere
48,15166191-n,lemma,ettermiddag
49,04924103-n,lemma,alder
50,04924103-n,lemma,levealder
51,15153787-n,lemma,alderdom
52,15153787-n,lemma,vinter
53,15254028-n,lemma,alder
54,00248512-v,lemma,eldast
55,08057206-n,lemma,byrå
56,06485261-n,lemma,dagsorden
57,09777353-n,lemma,agent
58,07495551-n,lemma,kval
59,07495551-n,lemma,pine
60,07495551-n,lemma,smerte
61,07495551-n,lemma,sorg
62,02657219-v,lemma,passe
63,00916464-n,lemma,landbruk
64,13265904-n,lemma,støtte
65,14127782-n,lemma,aids
66,14841267-n,lemma,luft
67,02690081-n,lemma,flyselskap
68,02692232-n,lemma,flyplass
69,02694426-n,lemma,alarm
70,02694662-n,lemma,klokke
71,02694662-n,lemma,vekkarklokke
72,07519773-n,lemma,uro
73,02695079-n,lemma,album
74,06591815-n,lemma,plate
75,07884567-n,lemma,alkohol
76,00802318-v,lemma,tillate
77,02699494-n,lemma,alter
78,14627820-n,lemma,aluminium
79,09786585-n,lemma,amatør
80,04836268-n,lemma,ambisjon
81,02701002-n,lemma,ambulanse
82,06723635-n,lemma,tilføying
83,06723635-n,lemma,tillegg
84,01254692-v,lemma,amputere
85,00859758-v,lemma,more
86,00704305-n,lemma,analyse
87,00704305-n,lemma,psykoanalyse
88,09790278-n,lemma,analytikar
89,09790278-n,lemma,psykoanalytikar
90,09538915-n,lemma,engel
91,07516354-n,lemma,sinne
92,13887509-n,lemma,vinkel
93,00015388-n,lemma,dyr
94,00015388-n,lemma,dyreart
95,00015388-n,lemma,krek
96,05578442-n,lemma,okle
97,15249799-n,lemma,årsdag
98,06726158-n,lemma,erklæring
99,06726158-n,lemma,fråsegn
100,06726158-n,lemma,kunngjering
101,06726158-n,lemma,utsegn
102,07200527-n,lemma,svar
103,00815686-v,lemma,svare
104,02219486-n,lemma,maur
105,07511080-n,lemma,forventning
106,07483622-n,lemma,apati
107,07483622-n,lemma,interesseløyse
108,07483622-n,lemma,likegyldigheit
109,07483622-n,lemma,likesæle
110,00892923-v,lemma,unnskylde
111,06633363-n,lemma,orsaking
112,06633363-n,lemma,unnskyldning
113,02727825-n,lemma,apparat
114,04687333-n,lemma,appell
115,06513764-n,lemma,appell
116,02497824-v,lemma,anke
117,05537576-n,lemma,blindtarm
