,Synset,Tipo,Info
0,02667379-n,lemma,kloster
1,05200169-n,lemma,evne
2,01595596-a,lemma,abnorm
3,02427334-v,lemma,avskaffe
4,00243900-v,lemma,forkorte
5,00005205-a,lemma,fullstendig
6,02765464-v,lemma,absorbere
7,05700087-n,lemma,opptatthet
8,00011757-a,lemma,abstrakt
9,00013887-a,lemma,tallrikt
10,00419908-n,lemma,mishandling
11,06715223-n,lemma,fornærme
12,02599939-a,lemma,akademisk
13,02669885-n,lemma,akademi
14,00668805-v,lemma,akseptere
15,00017782-a,lemma,akseptabel
16,00017782-a,lemma,appetittlig
17,00180413-n,lemma,aksept
18,05176188-n,lemma,adgang
19,05175467-n,lemma,adgang
20,00019131-a,lemma,tilgjengelig
21,07301336-n,lemma,uhell
22,06738281-n,lemma,beretning
23,06738281-n,lemma,historie
24,13354985-n,lemma,kontoutskrift
25,09761403-n,lemma,revisor
26,00021766-a,lemma,nøyaktig
27,00035189-n,lemma,prestasjon
28,14607521-n,lemma,syre
29,05817145-n,lemma,bekjentskap
30,13930245-n,lemma,bekjent
31,00030358-n,lemma,handling
32,07009640-n,lemma,akt
33,01181902-n,lemma,rettssak
34,06373513-n,lemma,handling
35,00031974-a,lemma,aktiv
36,04635104-n,lemma,aktivitet
37,00044760-a,lemma,akutt
38,00047029-a,lemma,avhengig
39,08491027-n,lemma,adresse
40,00051045-a,lemma,tilstrekkelig
41,00150287-v,lemma,justere
42,07500741-n,lemma,aktelse
43,07500741-n,lemma,beundring
44,07500741-n,lemma,respekt
45,01827858-v,lemma,beundre
46,13321495-n,lemma,inngang
47,00817311-v,lemma,innrømme
48,00817311-v,lemma,vedgå
49,00817311-v,lemma,vedkjenne
50,00817311-v,lemma,vedstå
51,02346724-v,lemma,ta til seg
52,01185292-n,lemma,adopsjon
53,09605289-n,lemma,voksen
54,13375891-n,lemma,forskudd
55,00796315-n,lemma,eventyr
56,07248801-n,lemma,reklame
57,06671484-n,lemma,råd
58,09774266-n,lemma,rådgiver
59,09774783-n,lemma,talsmann
60,00069531-a,lemma,estetisk
61,13931889-n,lemma,affære
62,13931889-n,lemma,elskovsaffære
63,13931889-n,lemma,kjærlighetsaffære
64,00137313-v,lemma,påvirke
65,00838043-v,lemma,simulere
66,00077645-a,lemma,redd
67,15166191-n,lemma,ettermiddag
68,04924103-n,lemma,alder
69,04924103-n,lemma,levealder
70,15153787-n,lemma,alderdom
71,15153787-n,lemma,vinter
72,15254028-n,lemma,alder
73,00248512-v,lemma,eldes
74,08057206-n,lemma,byrå
75,06485261-n,lemma,dagsorden
76,09777353-n,lemma,agent
77,00082241-a,lemma,aggressiv
78,00032733-a,lemma,behendig
79,07495551-n,lemma,bedrøvelse
80,07495551-n,lemma,kval
81,07495551-n,lemma,pine
82,07495551-n,lemma,smerte
83,02657219-v,lemma,passe
84,00916464-n,lemma,landbruk
85,13265904-n,lemma,støtte
86,14127782-n,lemma,aids
87,14841267-n,lemma,luft
88,02690081-n,lemma,flyselskap
89,02692232-n,lemma,flyplass
90,02694426-n,lemma,alarm
91,02694662-n,lemma,klokke
92,02694662-n,lemma,vekkerklokke
93,07519773-n,lemma,uro
94,02695079-n,lemma,album
95,06591815-n,lemma,plate
96,07884567-n,lemma,alkohol
97,00091311-a,lemma,overvåken
98,00094448-a,lemma,levende
99,00802318-v,lemma,tillate
100,01987646-a,lemma,reservert
101,02699494-n,lemma,alter
102,14627820-n,lemma,aluminium
103,09786585-n,lemma,amatør
104,00369504-a,lemma,ravfarget
105,04825114-n,lemma,tvetydighet
106,00895442-a,lemma,tvetydig
107,04836268-n,lemma,ambisjon
108,00104051-a,lemma,ambisiøs
109,02701002-n,lemma,ambulanse
110,06723635-n,lemma,tilføyelse
111,06723635-n,lemma,tillegg
112,01383394-a,lemma,rikelig
113,01254692-v,lemma,amputere
114,00859758-v,lemma,more
115,00704305-n,lemma,analyse
