,Synset,Tipo,Info
0,00002312-a,pol:lemma,grzbietowy
1,00004296-a,pol:lemma,śmiertelny
2,00004296-a,pol:lemma,przedagonalny
3,00004296-a,pol:lemma,przedzgonny
4,00004296-a,pol:lemma,przedśmiertny
5,00005107-a,pol:lemma,długometrażowy
6,00005107-a,pol:lemma,pełnometrażowy
7,00005205-a,pol:lemma,absolutny
8,00006336-a,pol:lemma,chłonny
9,00006336-a,pol:lemma,wsiąkliwy
10,00007331-a,pol:lemma,amortyzacyjny
11,00008734-a,pol:lemma,absorbowalny
12,00008734-a,pol:lemma,wchłanialny
13,00009618-a,pol:lemma,ascetyczny
14,00010726-a,pol:lemma,łakomy
15,00010726-a,pol:lemma,łasy
16,00011327-a,pol:lemma,wieprzowaty
17,00012362-a,pol:lemma,konceptualny
18,00012362-a,pol:lemma,pojęciowy
19,00012689-a,pol:lemma,ideowy
20,00015247-a,pol:lemma,bujny
21,00015247-a,pol:lemma,gęsty
22,00015247-a,pol:lemma,rozrośnięty
23,00015589-a,pol:lemma,długi
24,00016756-a,pol:lemma,deficytowy
25,00021110-a,pol:lemma,pomocny
26,00021110-a,pol:lemma,uczynny
27,00021766-a,pol:lemma,czuły
28,00021766-a,pol:lemma,precyzyjny
29,00021766-a,pol:lemma,dokładny
30,00024619-a,pol:lemma,przywykły
31,00024619-a,pol:lemma,nawykły
32,00024619-a,pol:lemma,przyzwyczajony
33,00025470-a,pol:lemma,kwaśny
34,00025470-a,pol:lemma,kwasowy
35,00026168-a,pol:lemma,alkaliczny
36,00026168-a,pol:lemma,zasadowy
37,00026388-a,pol:lemma,solny
38,00028984-a,pol:lemma,cichy
39,00029933-a,pol:lemma,chciwy
40,00029933-a,pol:lemma,zachłanny
41,00029933-a,pol:lemma,pazerny
42,00030701-a,pol:lemma,rabunkowy
43,00030701-a,pol:lemma,łupieski
44,00030701-a,pol:lemma,łupieżczy
45,00030701-a,pol:lemma,grabieżczy
46,00032497-a,pol:lemma,akrobatyczny
47,00032733-a,pol:lemma,zwinny
48,00034322-a,pol:lemma,ślamazarny
49,00034322-a,pol:lemma,ślimaczy
50,00034322-a,pol:lemma,ospały
51,00034322-a,pol:lemma,żółwi
52,00034322-a,pol:lemma,flegmatyczny
53,00034322-a,pol:lemma,nieruchawy
54,00034322-a,pol:lemma,nieruchliwy
55,00035868-a,pol:lemma,ruchliwy
56,00035868-a,pol:lemma,uczęszczany
57,00037653-a,pol:lemma,postępowy
58,00038750-a,pol:lemma,czynny
59,00038750-a,pol:lemma,aktywny
60,00039122-a,pol:lemma,aktywistyczny
61,00039592-a,pol:lemma,bierny
62,00039592-a,pol:lemma,pasywny
63,00043125-a,pol:lemma,bezczynny
64,00044987-a,pol:lemma,podostry
65,00045356-a,pol:lemma,zwyrodnieniowy
66,00045561-a,pol:lemma,wirulentny
67,00047029-a,pol:lemma,nałogowy
68,00047243-a,pol:lemma,alkoholiczny
69,00048129-a,pol:lemma,addytywny
70,00048858-a,pol:lemma,dodatkowy
71,00048858-a,pol:lemma,uboczny
72,00049016-a,pol:lemma,komplementarny
73,00049016-a,pol:lemma,uzupełniający
74,00049683-a,pol:lemma,sumowalny
75,00050083-a,pol:lemma,subtraktywny
76,00052672-a,pol:lemma,przyczepny
77,00053691-a,pol:lemma,kleisty
78,00053691-a,pol:lemma,klejący
79,00053691-a,pol:lemma,klejki
80,00053691-a,pol:lemma,lepki
81,00053691-a,pol:lemma,klejowaty
82,00053691-a,pol:lemma,czepny
83,00054109-a,pol:lemma,oślizgły
84,00054109-a,pol:lemma,oślizły
85,00054109-a,pol:lemma,obślizły
86,00054109-a,pol:lemma,obślizgły
87,00054201-a,pol:lemma,ciągliwy
88,00054278-a,pol:lemma,przylepny
89,00054667-a,pol:lemma,samoprzylepny
90,00056660-a,pol:lemma,cekinowy
91,00057992-a,pol:lemma,czubaty
92,00057992-a,pol:lemma,czubiasty
93,00058696-a,pol:lemma,falbaniasty
94,00061885-a,pol:lemma,praktyczny
95,00061885-a,pol:lemma,sprytny
96,00062367-a,pol:lemma,zręczny
97,00062367-a,pol:lemma,zwinny
98,00062367-a,pol:lemma,zgrabny
99,00062367-a,pol:lemma,lekki
100,00062626-a,pol:lemma,zgrabny
101,00062626-a,pol:lemma,zręczny
102,00063953-a,pol:lemma,nietaktowny
103,00064787-a,pol:lemma,dobry
104,00064787-a,pol:lemma,niezły
105,00065064-a,pol:lemma,dodatni
106,00067767-a,pol:lemma,niewskazany
107,00068883-a,pol:lemma,oksydacyjny
108,00069217-a,pol:lemma,aerobowy
