,Synset,Tipo,Info
0,00001740-a,lemma,capaz
1,00001740-n,lemma,ente
2,00001740-n,lemma,entidade
3,00001740-n,lemma,ser
4,00001740-v,lemma,espirar
5,00001740-v,lemma,respirar
6,00001930-n,lemma,entidade física
7,00002098-a,lemma,incapaz
8,00002137-n,lemma,abstração
9,00002137-n,lemma,entidade abstrata
10,00002137-n,lemma,idéia abstrata
11,00002312-a,lemma,dorsal
12,00002621-r,lemma,dificilmente
13,00002621-r,lemma,logoque
14,00002621-r,lemma,quase não
15,00002621-r,lemma,quasenão
16,00002684-n,lemma,objeto
17,00002684-n,lemma,objeto físico
18,00002942-v,lemma,hiperventilar
19,00003093-r,lemma,apenas
20,00003093-r,lemma,dificilmente
21,00003133-v,lemma,hiperventilar
22,00003431-v,lemma,arrotar
23,00003483-r,lemma,basicamente
24,00003483-r,lemma,em essência
25,00003483-r,lemma,essencialmente
26,00003483-r,lemma,fundamentalmente
27,00003553-a,lemma,emergente
28,00003553-n,lemma,todo
29,00003553-n,lemma,unidade
30,00003826-v,lemma,soluçar
31,00003829-a,lemma,parturienta
32,00003993-n,lemma,congênere
33,00004032-v,lemma,suspirar
34,00004171-a,lemma,moribundo
35,00004184-r,lemma,negativamente
36,00004227-v,lemma,axalar
37,00004227-v,lemma,expirar
38,00004288-r,lemma,negativamente
39,00004394-r,lemma,amavelmente
40,00004394-r,lemma,naturalmente
41,00004413-a,lemma,abreviado
42,00004475-n,lemma,criatura
43,00004475-n,lemma,organismo
44,00004475-n,lemma,ser
45,00004475-n,lemma,ser vivo
46,00004605-v,lemma,emanar
47,00004722-r,lemma,apenas
48,00004722-r,lemma,meramente
49,00004722-r,lemma,simplesmente
50,00004722-r,lemma,somente
51,00004722-r,lemma,só
52,00004722-r,lemma,todavia
53,00004819-v,lemma,espirrar
54,00004967-r,lemma,singelamente
55,00005041-v,lemma,inalar
56,00005041-v,lemma,inspirar
57,00005055-r,lemma,simplesmente
58,00005205-a,lemma,absoluto
59,00005205-a,lemma,perfeito
60,00005343-r,lemma,possivelmente
61,00005526-v,lemma,bufar
62,00005567-r,lemma,automaticamente
63,00005599-a,lemma,implícito
64,00005718-a,lemma,infinito
65,00005779-r,lemma,enormemente
66,00005779-r,lemma,imensamente
67,00005787-n,lemma,bentos
68,00005815-v,lemma,tossir
69,00006024-n,lemma,Heterotrofismo
70,00006032-a,lemma,relativo
71,00006034-r,lemma,grosseiramente
72,00006034-r,lemma,indelicadamente
73,00006105-r,lemma,em grande parte
74,00006105-r,lemma,em maior número das ocasiões
75,00006105-r,lemma,maioritariamente
76,00006105-r,lemma,pela maior parte
77,00006238-v,lemma,cuspir
78,00006238-v,lemma,expectorar
79,00006245-a,lemma,relacional
80,00006259-r,lemma,notavelmente
81,00006259-r,lemma,significativamente
82,00006269-n,lemma,vida
83,00006336-a,lemma,absorvente
84,00006336-a,lemma,hidrófilo
85,00006484-n,lemma,célula
86,00006697-v,lemma,respirar ruidosamente
87,00007012-v,lemma,assoprar
88,00007012-v,lemma,soprar
89,00007015-r,lemma,aproximadamente
90,00007015-r,lemma,cerca de
91,00007015-r,lemma,cerca
92,00007015-r,lemma,mais ou menos
93,00007015-r,lemma,precariamente
94,00007015-r,lemma,rudemente
95,00007328-v,lemma,abrir a boca
96,00007328-v,lemma,bocejar
97,00007347-n,lemma,agente causador
98,00007347-n,lemma,causa
99,00007347-n,lemma,causador
100,00007488-r,lemma,deveras
101,00007516-a,lemma,esponjoso
102,00007703-r,lemma,em parte
103,00007703-r,lemma,parcialmente
104,00007739-v,lemma,pestanejar
105,00007739-v,lemma,piscar
106,00007846-n,lemma,alguém
107,00007846-n,lemma,indivíduo
108,00007846-n,lemma,pessoa
109,00007846-n,lemma,ser humano
110,00007990-a,lemma,resistente
111,00008007-r,lemma,ao todo
112,00008007-r,lemma,cabalmente
113,00008007-r,lemma,cem por cento
114,00008007-r,lemma,completamente
115,00008007-r,lemma,inteiramente
116,00008007-r,lemma,totalmente
117,00008299-v,lemma,piscar o olho
118,00008435-v,lemma,piscar de olhos
119,00008435-v,lemma,piscar os olhos
120,00008600-r,lemma,apenas
121,00008600-r,lemma,exclusivamente
122,00008600-r,lemma,exclusive
123,00008600-r,lemma,não mais que
124,00008600-r,lemma,somente
125,00008600-r,lemma,unicamente
126,00008602-v,lemma,olhar de soslaio
127,00008602-v,lemma,ser vesgo
128,00008602-v,lemma,vesguear
129,00008997-r,lemma,100 por cento
130,00008997-r,lemma,absolutamente
131,00008997-r,lemma,cem por cento
132,00008997-r,lemma,de cabo a rabo
133,00008997-r,lemma,inteiramente
134,00009147-v,lemma,depenar
135,00009147-v,lemma,desplumar
136,00009147-v,lemma,mudar
137,00009147-v,lemma,trocar
138,00009492-v,lemma,descamar-se
139,00009618-a,lemma,ascético
140,00009650-r,lemma,perfeitamente
141,00009884-v,lemma,fibrilar
