,Synset,Tipo,Info
0,01099436-n,lit:lemma,investavimas
1,07987380-n,lit:lemma,keturių grupė
2,02084071-n,lit:lemma,šuo
3,07704054-n,lit:lemma,tyrė
4,01599898-s,lit:lemma,psichinis
5,00871418-n,lit:lemma,integravimas
6,09285254-n,lit:lemma,šukė
7,00057388-r,lit:lemma,smarkiai
8,05454833-n,lit:lemma,pjautuvo pavidalo ląstelė
9,03813176-n,lit:lemma,navigacijos prietaisas
10,13746672-n,lit:lemma,11
11,06876309-n,lit:lemma,judesys
12,05019339-n,lit:lemma,nežymumas
13,04317420-n,lit:lemma,lazda
14,01155603-s,lit:lemma,apskaičiuojantis
15,01695269-s,lit:lemma,uždengtas
16,00084795-s,lit:lemma,žiaurus
17,00021766-a,lit:lemma,atitinkantis
18,10393909-n,lit:lemma,dažytojas
19,01105840-a,lit:lemma,valstybinis
20,05641556-n,lit:lemma,koordinavimas
21,01367431-s,lit:lemma,džiugus
22,02038126-s,lit:lemma,stiprus
23,04879340-n,lit:lemma,nelojalumas
24,02716739-a,lit:lemma,ūkinis
25,00675701-a,lit:lemma,ciklinis
26,02960507-a,lit:lemma,Belgijos
27,04675193-n,lit:lemma,oda
28,00044900-n,lit:lemma,ekshumacija
29,00034641-r,lit:lemma,anksčiausiai
30,15265518-n,lit:lemma,pradžia
31,14405225-n,lit:lemma,pakili nuotaika
32,13743605-n,lit:lemma,dvejetas
33,02339577-s,lit:lemma,aukšto rango
34,09976728-n,lit:lemma,kreditorius
35,04645943-n,lit:lemma,nenoras
36,00727113-s,lit:lemma,priklausomas
37,00248977-n,lit:lemma,pagerinimas
38,00087542-r,lit:lemma,be galo
39,00901060-s,lit:lemma,pagrindinis
40,07122118-n,lit:lemma,rėksmas
41,00510050-a,lit:lemma,nusimanantis
42,00356621-n,lit:lemma,išsekinimas
43,09285254-n,lit:lemma,skeveldra
44,06100778-n,lit:lemma,optika
45,00710097-s,lit:lemma,beskeveldris
46,01610261-s,lit:lemma,nematytas
47,10709529-n,lit:lemma,metikas
48,06797169-n,lit:lemma,požymis
49,15122231-n,lit:lemma,laikas
50,01111418-s,lit:lemma,nešykštus
51,04108268-n,lit:lemma,trosas
52,01522376-a,lit:lemma,paslankus
53,00026061-r,lit:lemma,visur
54,00138611-r,lit:lemma,greičiausiai
55,02122878-n,lit:lemma,katė
56,10013614-n,lit:lemma,padavėjas
57,02957469-a,lit:lemma,Vokietijos
58,02627666-v,lit:lemma,kilti
59,02530167-v,lit:lemma,mėginti
60,00021265-n,lit:lemma,ėdalas
61,10173305-n,lit:lemma,herojė
62,06781581-n,lit:lemma,kalambūras
63,04193377-n,lit:lemma,antrojo lygio klavišas
64,10186350-n,lit:lemma,sodininkas
65,03517899-n,lit:lemma,didysis altorius
66,02967791-a,lit:lemma,korėjietiškas
67,01455732-s,lit:lemma,tylus
68,13746672-n,lit:lemma,vienuolika
69,00007015-r,lit:lemma,daugmaž
70,13903079-n,lit:lemma,pakraštys
71,06888944-n,lit:lemma,reginys
72,00823316-n,lit:lemma,apsaugos priemonės
73,00128733-s,lit:lemma,beprecedentis
74,08070850-n,lit:lemma,investicinė kompanija
75,04191595-n,lit:lemma,slėptuvė
76,04332243-n,lit:lemma,filtras
77,01115635-s,lit:lemma,tikras
78,11509377-n,lit:lemma,ledo kristalėlis
79,02835481-a,lit:lemma,revoliucinis
80,02059811-s,lit:lemma,pavojingas
81,01025212-s,lit:lemma,užsispyręs
82,00507716-r,lit:lemma,vakar
83,06609909-n,lit:lemma,beprasmybė
84,07737081-n,lit:lemma,valgomas riešutas
85,00184284-r,lit:lemma,žinoma
86,03294048-n,lit:lemma,įranga
87,08173515-n,lit:lemma,Europos Sąjunga
88,06468403-n,lit:lemma,CV
89,05896059-n,lit:lemma,fantazija
90,14580897-n,lit:lemma,materija
91,08428756-n,lit:lemma,virtinė
92,15147713-n,lit:lemma,jaunystė
93,04618070-n,lit:lemma,tapatybė
94,06946497-n,lit:lemma,germanų kalbų grupė
95,07993279-n,lit:lemma,gyvūnija
96,00248765-r,lit:lemma,ypatingai
97,02068974-n,lit:lemma,delfinas
98,06615561-n,lit:lemma,renginys
99,03098140-n,lit:lemma,valdymo skydas
100,03047171-n,lit:lemma,laikrodžio mechanizmas
101,00260695-s,lit:lemma,buržuazinis
102,00079617-r,lit:lemma,aktyviai
103,06759349-n,lit:lemma,apsimetimas
104,00651039-s,lit:lemma,pavojingas
105,00896555-a,lit:lemma,aiškus
106,01605081-a,lit:lemma,pietų
107,02774152-n,lit:lemma,rankinukas
108,01730444-s,lit:lemma,nesenas
109,15287830-n,lit:lemma,ciklas
110,07199565-n,lit:lemma,atsakas
111,00224515-s,lit:lemma,blogas
112,07747055-n,lit:lemma,citrusinis vaisius
113,14189837-n,lit:lemma,sepsis
114,00161294-r,lit:lemma,ryškiai
115,01048059-n,lit:lemma,atnaujinimas
116,00957176-a,lit:lemma,neobjektyvus
117,00522463-s,lit:lemma,nuodugnus
118,00039211-n,lit:lemma,sąveika
119,09856401-n,lit:lemma,paukščių mėgėjas
120,13732078-n,lit:lemma,trupmena
121,00487653-a,lit:lemma,retas
122,08337324-n,lit:lemma,valstybinė įstaiga
123,00962129-n,lit:lemma,maištas
124,01440574-s,lit:lemma,apyilgis
125,01115866-n,lit:lemma,mažmeninė prekyba
126,08277805-n,lit:lemma,akademija
127,00380568-n,lit:lemma,sulydymas
128,02132735-s,lit:lemma,intymus
129,04393404-n,lit:lemma,apmušalai
130,02810102-a,lit:lemma,žemės
131,05085572-n,lit:lemma,artumas
132,01974773-n,lit:lemma,vėžiagyvis
133,01006056-v,lit:lemma,užrašyti
134,00465341-r,lit:lemma,visai
135,00348247-r,lit:lemma,linksmai
136,03443005-n,lit:lemma,vartininko aikštelė
137,00610538-v,lit:lemma,priminti
138,08381820-n,lit:lemma,ministrų kabinetas
139,00016647-s,lit:lemma,žalias
140,05107765-n,lit:lemma,suma
141,00061677-r,lit:lemma,staiga
142,02212825-v,lit:lemma,uždrausti
143,03740161-n,lit:lemma,gydymas
144,10305802-n,lit:lemma,gydytojas
145,14386022-n,lit:lemma,ksenofobija
146,00126972-r,lit:lemma,techniškai
147,01211296-s,lit:lemma,išplėstas
148,03271260-n,lit:lemma,elektroninis laikrodis
149,01686439-a,lit:lemma,originalus
150,09385911-n,lit:lemma,dalis
151,05653848-n,lit:lemma,eksterorecepcija
152,00717358-v,lit:lemma,atsiliepti
153,01486854-s,lit:lemma,vienodas
154,06367107-n,lit:lemma,grožinė literatūra
155,05284132-n,lit:lemma,viršutinis žandikaulis
156,00104539-n,lit:lemma,metimas
157,02479323-v,lit:lemma,išduoti
158,01070187-n,lit:lemma,dieta
159,00602117-s,lit:lemma,diskusinis
160,03731164-n,lit:lemma,matracas
161,01120448-n,lit:lemma,apmokėjimas
162,10626540-n,lit:lemma,burtininkė
163,00043195-n,lit:lemma,atskleidimas
164,00024720-n,lit:lemma,situacija
165,00132158-r,lit:lemma,asmeniškai
166,14042165-n,lit:lemma,hipokapnija
167,13658998-n,lit:lemma,decimetras
168,00060477-v,lit:lemma,sterilizuoti
169,13290676-n,lit:lemma,žalos atlyginimas
170,10053004-n,lit:lemma,imperatorius
171,00552089-s,lit:lemma,įvykdytas
172,13676544-n,lit:lemma,forintas
173,00665630-v,lit:lemma,įrodyti
174,01256332-a,lit:lemma,karštas
175,00176880-r,lit:lemma,keletą kartų
176,07214432-n,lit:lemma,atradimas
177,05939636-n,lit:lemma,regimybė
178,05633385-n,lit:lemma,pramanas
179,14120767-n,lit:lemma,hipertireozė
180,01614925-n,lit:lemma,baltagalvis erelis
181,02941408-n,lit:lemma,taikos pypkė
182,04694980-n,lit:lemma,pirštų atspaudas
