,Synset,Tipo,Info
0,13681275-n,slk:lemma,CZK
1,13400798-n,slk:lemma,taxa
2,01212572-v,slk:lemma,uchopovať
3,10125786-n,slk:lemma,generál
4,08065234-n,slk:lemma,systém
5,04089152-n,slk:lemma,hrebeňová väznica strechy
6,01601297-s,slk:lemma,severský
7,01170962-n,slk:lemma,konflikt
8,00075966-r,slk:lemma,opačne
9,00874226-s,slk:lemma,živý
10,01130169-v,slk:lemma,ochraňovať
11,05804793-n,slk:lemma,uvedomovanie si
12,06447763-n,slk:lemma,Júdov list
13,02075049-v,slk:lemma,vytratiť sa
14,03282591-n,slk:lemma,emblém
15,00210446-r,slk:lemma,úspešne
16,07573563-n,slk:lemma,dobré jedlo
17,02913152-n,slk:lemma,stavba
18,09964805-n,slk:lemma,kopista
19,02701871-n,slk:lemma,americká burza
20,09326662-n,slk:lemma,kopček
21,01761706-v,slk:lemma,dráždiť
22,08353912-n,slk:lemma,reklamná agentúra
23,00785008-v,slk:lemma,položiť otázku
24,15251336-n,slk:lemma,storočné jubileum
25,00213186-n,slk:lemma,vzdanie sa
26,03041810-n,slk:lemma,strešná nadstavba
27,02939185-n,slk:lemma,veľký kotol
28,01062583-n,slk:lemma,nečinnosť
29,12102133-n,slk:lemma,tráva
30,00839292-n,slk:lemma,úraz elektrickým prúdom
31,03242995-n,slk:lemma,mechanika
32,02061495-v,slk:lemma,uháňať
33,13338960-n,slk:lemma,garančná poistka pre splnenie kontraktu
34,13875571-n,slk:lemma,očko
35,04061969-n,slk:lemma,nika
36,02269143-v,slk:lemma,ušetriť si
37,00341655-s,slk:lemma,nestály
38,01888511-v,slk:lemma,triasť sa
39,01003050-a,slk:lemma,finálny
40,13508183-n,slk:lemma,posun o riadok
41,01874568-v,slk:lemma,nadnášať
42,01041954-v,slk:lemma,klebetiť
43,07445265-n,slk:lemma,postup
44,04951373-n,slk:lemma,svetlosť
45,10339966-n,slk:lemma,hudobník
46,01258264-s,slk:lemma,mrazivý
47,01002297-v,slk:lemma,zaznamenávať
48,01640124-s,slk:lemma,starodávny
49,00900726-n,slk:lemma,maľovanie
50,02541302-a,slk:lemma,nemocný
51,00531489-v,slk:lemma,znižovať sa
52,08748917-n,slk:lemma,Bonaire
53,09194357-n,slk:lemma,Alpy
54,00140751-v,slk:lemma,prehodiť
55,04548362-n,slk:lemma,taška
56,03551084-n,slk:lemma,kvapalinová brzda
57,00592199-n,slk:lemma,úrad starešinu
58,08415127-n,slk:lemma,zablokovaná porota
59,00370267-s,slk:lemma,bledomodrý
60,01601234-v,slk:lemma,nosiť sa
61,02122164-v,slk:lemma,bolieť
62,00746718-v,slk:lemma,zaveliť
63,07987380-n,slk:lemma,kvarteto
64,14515633-n,slk:lemma,odbor
65,06152821-n,slk:lemma,systematika
66,00033852-v,slk:lemma,mračiť sa
67,00943563-v,slk:lemma,rozprávať o
68,02642814-v,slk:lemma,presúvať
69,01475160-s,slk:lemma,schopný riadiť
70,03832673-n,slk:lemma,laptop
71,00990719-n,slk:lemma,priama paľba
72,02464461-n,slk:lemma,zadná končatina
73,00356954-v,slk:lemma,zdvihnúť sa
74,00017282-v,slk:lemma,zosypať sa (od vyčerpania)
75,00331167-s,slk:lemma,ležiaci presne uprostred
76,02090567-s,slk:lemma,nápadný
77,00252019-v,slk:lemma,vyvinúť
78,04975122-n,slk:lemma,nuansa
79,00431004-s,slk:lemma,neurčitý
80,02136271-v,slk:lemma,odrážať
81,06492811-n,slk:lemma,zoznam adresátov
82,13354154-n,slk:lemma,nevyhnutné finančné prostriedky
83,00897564-v,slk:lemma,oslovovať
84,01083077-n,slk:lemma,rozdeľovanie
85,02520219-a,slk:lemma,dobrovoľný
86,00279523-r,slk:lemma,priamo
87,02518161-v,slk:lemma,chovať sa
88,03303965-n,slk:lemma,východ
89,02294436-v,slk:lemma,podeliť
90,15284999-n,slk:lemma,dochádzka
91,00492745-r,slk:lemma,nepochybne
92,01975138-a,slk:lemma,závažný
93,02299801-v,slk:lemma,predražovať ponuku
94,02144835-v,slk:lemma,skryť si
95,01428155-n,slk:lemma,Malacopterygii
96,02521284-v,slk:lemma,obžalovať
97,06709533-n,slk:lemma,nesúhlas
98,02233704-v,slk:lemma,stiahnuť
99,14103288-n,slk:lemma,choroba srdca
100,00673766-v,slk:lemma,podhodnotiť
101,14899152-n,slk:lemma,médium
102,03129123-n,slk:lemma,kreácia
103,01177899-s,slk:lemma,mentálny
104,13780719-n,slk:lemma,vzťah
105,13403025-n,slk:lemma,bremeno
106,00522463-s,slk:lemma,úplný
107,01115916-v,slk:lemma,odolávať
108,06218459-n,slk:lemma,ľavicová politika
109,08240169-n,slk:lemma,zostava
110,08845555-n,slk:lemma,Rakúska republika
111,01029406-n,slk:lemma,náboženský obrad
112,00435103-v,slk:lemma,podliehať
113,02163746-v,slk:lemma,všimnúť si
114,00795863-v,slk:lemma,nedovoliť
115,00312691-n,slk:lemma,cesta
116,04384910-n,slk:lemma,zadné svetlo
117,10249011-n,slk:lemma,laureát
118,05519085-n,slk:lemma,maternica
119,09777012-n,slk:lemma,maklér
120,05142180-n,slk:lemma,dobro
121,04062179-n,slk:lemma,piestový motor
122,06733476-n,slk:lemma,vyhrážka
123,10157744-n,slk:lemma,hlupák
124,06407094-n,slk:lemma,vlastné písmo
125,00621627-n,slk:lemma,úsilie
126,01580467-v,slk:lemma,obkolesiť
127,00259177-n,slk:lemma,naprávať
128,00169692-s,slk:lemma,tmavý
129,13461162-n,slk:lemma,dopyt
130,00088303-r,slk:lemma,dočasne
131,05702726-n,slk:lemma,zreteľ
132,08756884-n,slk:lemma,Cyperská republika
133,01038808-a,slk:lemma,domáci
134,14627820-n,slk:lemma,hliník
135,01642924-v,slk:lemma,predvádzať
136,01880113-v,slk:lemma,udierať
137,01441100-v,slk:lemma,prebodávať
138,01388062-s,slk:lemma,ohromný
139,04358381-n,slk:lemma,povrch
140,14036203-n,slk:lemma,emotívny prejav
141,01451768-s,slk:lemma,požehnaný
142,00535293-s,slk:lemma,nepresný
143,10010632-n,slk:lemma,dedič
144,08081403-n,slk:lemma,obrana
145,02768864-n,slk:lemma,kulisy
146,01805982-v,slk:lemma,uznať
147,01011753-s,slk:lemma,úvodný
148,04697267-n,slk:lemma,nenápadnosť
