,Synset,Tipo,Info
0,00001740-a,slv:lemma,sposoben
1,00001740-a,slv:lemma,zmožen
2,00001740-n,slv:lemma,entiteta
3,00001740-n,slv:def,"slv:defilozofski pojem, ki je vezan na obstojnost česarkoli v danem prostoru in času pa kljub temu ni nujno vezano na materialno pojavnost; nekaj kar je, kar obstaja"
4,00001740-v,slv:lemma,dihati
5,00001740-v,slv:lemma,vdihniti
6,00001930-n,slv:lemma,fizična entiteta
7,00002137-n,slv:lemma,abstrakcija
8,00002312-a,slv:lemma,hrbten
9,00002452-n,slv:lemma,stvar
10,00002452-n,slv:lemma,reč
11,00002621-r,slv:lemma,komaj
12,00002621-r,slv:lemma,težko
13,00002684-n,slv:lemma,predmet
14,00003093-r,slv:lemma,komaj
15,00003093-r,slv:lemma,težko
16,00003356-a,slv:lemma,porajajoč
17,00003483-r,slv:lemma,bistveno
18,00003483-r,slv:lemma,glavno
19,00003483-r,slv:lemma,načeloma
20,00003483-r,slv:lemma,poglavitno
21,00003483-r,slv:lemma,pravzaprav
22,00003553-n,slv:lemma,celota
23,00003826-v,slv:lemma,kolcati
24,00004032-v,slv:lemma,vzdihovati
25,00004227-v,slv:lemma,izdihniti
26,00004227-v,slv:lemma,izpuhtevati
27,00004227-v,slv:lemma,poteči
28,00004258-n,slv:lemma,živo bitje
29,00004296-a,slv:lemma,zadnji
30,00004413-a,slv:lemma,okrajšan
31,00004475-n,slv:lemma,bitje
32,00004475-n,slv:lemma,organizem
33,00004492-v,slv:lemma,imeti
34,00004722-r,slv:lemma,a
35,00004722-r,slv:lemma,ali
36,00004722-r,slv:lemma,ampak
37,00004722-r,slv:lemma,edino
38,00004722-r,slv:lemma,le
39,00004722-r,slv:lemma,pak
40,00004722-r,slv:lemma,razen
41,00004722-r,slv:lemma,samo
42,00004722-r,slv:lemma,toda
43,00004722-r,slv:lemma,čeprav
44,00004722-r,slv:lemma,šele
45,00005041-v,slv:lemma,inhalirati
46,00005041-v,slv:lemma,inspirirati
47,00005041-v,slv:lemma,vdihniti
48,00005205-a,slv:lemma,absoluten
49,00005205-a,slv:lemma,popoln
50,00005473-a,slv:lemma,neposreden
51,00005526-v,slv:lemma,sopihati
52,00005526-v,slv:lemma,sopsti
53,00005599-a,slv:lemma,brezpogojen
54,00005779-r,slv:lemma,silno
55,00005779-r,slv:lemma,zelo
56,00005815-v,slv:lemma,kašljati
