,Synset,Tipo,Info
0,05578095-n,swe:lemma,häl
1,02024928-a,swe:lemma,storstilad
2,00798245-n,swe:lemma,korståg
3,02752987-a,swe:lemma,rättslig
4,04388162-n,swe:lemma,tampong
5,00248512-v,swe:lemma,åldras
6,02047263-v,swe:lemma,centrifugera
7,02818832-n,swe:lemma,säng
8,00411020-v,swe:lemma,modernisera
9,01778212-a,swe:lemma,fysisk
10,14287113-n,swe:lemma,sår
11,06210363-n,swe:lemma,ståndpunkt
12,10176679-n,swe:lemma,arbetare
13,07966140-n,swe:lemma,samhälle
14,04673965-n,swe:lemma,utseende
15,05822746-n,swe:lemma,förhållande
16,02530861-a,swe:lemma,varm
17,07486628-n,swe:lemma,längtan
18,02786473-a,swe:lemma,rabiat
19,05835747-n,swe:lemma,begrepp
20,01827858-v,swe:lemma,beundra
21,03609235-n,swe:lemma,kajak
22,04756172-n,swe:lemma,sannolikhet
23,07493830-n,swe:lemma,sadism
24,07414922-n,swe:lemma,möte
25,10098092-n,swe:lemma,medlöpare
26,01557903-a,swe:lemma,odödlig
27,02764614-n,swe:lemma,axel
28,09818022-n,swe:lemma,kosmonaut
29,00595935-v,swe:lemma,kunna
30,02436622-a,swe:lemma,intolerant
31,06515827-n,swe:lemma,biografi
32,01105259-n,swe:lemma,transport
33,02274259-n,swe:lemma,fjäril
34,05120310-n,swe:lemma,redundans
35,00478262-n,swe:lemma,fotboll
36,14298815-n,swe:lemma,sår
37,06591815-n,swe:lemma,album
38,01646682-v,swe:lemma,inspirera
39,01422556-a,swe:lemma,live
40,02696920-a,swe:lemma,medborgerlig
41,10401829-n,swe:lemma,deltagare
42,01202415-n,swe:lemma,integration
43,00893441-a,swe:lemma,balanserad
44,14514805-n,swe:lemma,land
45,03916031-n,swe:lemma,parfym
46,10126926-n,swe:lemma,hjärna
47,06136258-n,swe:lemma,psykologi
48,01258091-v,swe:lemma,hacka
49,01714208-v,swe:lemma,framträda
50,04253437-n,swe:lemma,tvål
51,02143283-v,swe:lemma,framhäva
52,00065855-n,swe:lemma,poäng
53,06548671-n,swe:lemma,skatteåterbäring
54,01823092-a,swe:lemma,omöjlig
55,08644722-n,swe:lemma,land
56,04868505-n,swe:lemma,salvelse
57,10666846-n,swe:lemma,dubbelgångare
58,02267012-a,swe:lemma,besluten
59,14871078-n,swe:lemma,flinta
60,03379828-n,swe:lemma,spång
61,00652900-v,swe:lemma,jämföra
62,02300501-a,swe:lemma,mätt
63,02718497-a,swe:lemma,elektronisk
64,05669034-n,swe:lemma,vana
65,09619824-n,swe:lemma,individualist
66,01010862-a,swe:lemma,en
67,01814815-v,swe:lemma,trösta
68,07194676-n,swe:lemma,räfst
69,00897026-n,swe:lemma,repetition
70,15254550-n,swe:lemma,förhistoria
